package,version,size_bytes,file_count,nonempty_file_count,jt_afferent,jt_efferent_total,jt_efferent_internal,jt_efferent_external,jt_instability,jt_in_degree,jt_out_degree,jt_in_degree_centrality,jt_out_degree_centrality,jt_total_degree_centrality,jt_dependency_score,jt_warning_count,jt_warning_messages
googleapis,171.4.0,199646715,1823,1823,12,42,0,42,0.7778,12,0,0.0024,0,0.0012,54,0,
next,16.2.6,154840819,8070,8010,77,227,0,227,0.7467,77,0,0.0155,0,0.0077,304,0,
@next/swc-linux-arm64-gnu,16.2.6,124941258,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@cloudflare/workerd-linux-64,1.20260519.1,125105997,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-linux-x64-gnu,16.2.6,130265551,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-linux-arm64-musl,16.2.6,125218383,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-linux-x64-musl,16.2.6,130191545,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-darwin-arm64,16.2.6,121740836,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
onnxruntime-web,1.26.0,134332969,507,507,11,35,0,35,0.7609,11,0,0.0022,0,0.0011,46,0,
@next/swc-win32-x64-msvc,16.2.6,136819205,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@next/swc-darwin-x64,16.2.6,119737475,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
app-builder-bin,4.2.0,198438278,14,14,0,0,0,0,0,0,0,0,0,0,0,0,
@pnpm/linux-x64,11.1.3,146740068,4,4,1,1,1,0,0.5,1,1,0.0002,0.0002,0.0002,2,0,
@temporalio/core-bridge,1.16.2,131359441,447,447,0,5,0,5,1,0,0,0,0,0,5,0,
opencode-linux-x64-baseline-musl,1.15.5,140626359,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-x64-musl,1.15.5,140626350,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@bufbuild/buf-linux-x64,1.69.0,125268882,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@zed-industries/codex-acp-linux-x64,0.14.0,221255489,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-x64-baseline,1.15.5,143833362,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-linux-x64,1.15.5,143833353,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@google-cloud/compute,6.11.0,175338033,1025,1025,1,18,0,18,0.9474,1,0,0.0002,0,0.0001,19,0,
@anthropic-ai/claude-code-linux-x64,2.1.144,233404698,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
dashjs,5.1.1,129997301,92,92,1,58,0,58,0.9831,1,0,0.0002,0,0.0001,59,0,
onnxruntime-node,1.26.0,266245395,43,43,9,9,0,9,0.5,9,0,0.0018,0,0.0009,18,0,
@fluentui/react-icons,2.0.326,121897571,23350,23350,1,17,0,17,0.9444,1,0,0.0002,0,0.0001,18,0,
@lancedb/lancedb-linux-x64-gnu,0.29.0,143086498,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@cloudflare/workerd-linux-arm64,1.20260519.1,129264762,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@formatjs/intl-datetimeformat,7.4.5,174785778,1552,1552,1,4,0,4,0.8,1,0,0.0002,0,0.0001,5,0,
react-grab,0.1.37,39307992,338,338,0,16,0,16,1,0,0,0,0,0,16,0,
@anthropic-ai/claude-code-darwin-arm64,2.1.144,207919585,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
flow-bin,0.314.0,191162170,14,14,19,0,0,0,0,19,0,0.0038,0,0.0019,19,0,
@tensorflow/tfjs,4.22.0,147474474,77,77,20,45,0,45,0.6923,20,0,0.004,0,0.002,65,0,
@github/copilot-linux-x64,1.0.49,160504600,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@github/copilot,1.0.49,274876693,326,322,0,0,0,0,0,0,0,0,0,0,0,0,
@anthropic-ai/claude-code-win32-x64,2.1.144,229303002,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-windows-x64,1.15.5,141508115,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
opencode-windows-x64-baseline,1.15.5,141508124,2,2,0,0,0,0,0,0,0,0,0,0,0,0,
@lancedb/lancedb-win32-x64-msvc,0.29.0,152295903,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@duckdb/duckdb-wasm,1.33.1-dev45.0,148772902,85,85,1,33,0,33,0.9706,1,0,0.0002,0,0.0001,34,0,
@node-llama-cpp/linux-x64-cuda,3.18.1,159456082,24,24,0,0,0,0,0,0,0,0,0,0,0,0,
@anthropic-ai/claude-code-linux-x64-musl,2.1.144,227798664,4,4,0,0,0,0,0,0,0,0,0,0,0,0,
@bufbuild/buf-linux-aarch64,1.69.0,118490012,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
node-linux-x64,22.22.3,184802990,2733,2733,0,0,0,0,0,0,0,0,0,0,0,0,
@iconify/json,2.2.475,416601966,242,242,3,10,0,10,0.7692,3,0,0.0006,0,0.0003,13,0,
@cdktf/node-pty-prebuilt-multiarch,0.10.2,167709910,368,368,0,17,0,17,1,0,0,0,0,0,17,0,
@next/swc-freebsd-x64,13.2.4,148496193,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@pdftron/webviewer,11.12.0,185609272,824,820,2,0,0,0,0,2,0,0.0004,0,0.0002,2,0,
@oven/bun-windows-x64,1.3.14,98480706,3,3,1,0,0,0,0,1,0,0.0002,0,0.0001,1,0,
@cdktf/provider-aws,21.22.1,392167704,4468,4468,0,17,0,17,1,0,0,0,0,0,17,0,
@oven/bun-windows-x64-baseline,1.3.14,97757914,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
ffprobe-static,3.1.0,351499535,11,11,0,1,0,1,1,0,0,0,0,0,1,0,
@node-llama-cpp/linux-x64-cuda-ext,3.18.1,464738270,5,5,0,0,0,0,0,0,0,0,0,0,0,0,
@highcharts/map-collection,2.3.2,130757599,2220,2220,0,0,0,0,0,0,0,0,0,0,0,0,
@lancedb/lancedb-linux-x64-musl,0.29.0,125189605,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@evilmartians/lefthook,2.1.6,131635039,16,16,31,0,0,0,0,31,0,0.0062,0,0.0031,31,0,
@github/copilot-language-server,1.489.0,192953871,141,140,0,1,0,1,1,0,0,0,0,0,1,0,
@lancedb/lancedb-linux-arm64-gnu,0.29.0,131551813,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
@progress/kendo-angular-intl,23.4.0,188335297,6147,6147,2,3,0,3,0.6,2,0,0.0004,0,0.0002,5,0,
@ibm/plex,6.4.1,186600620,10308,10308,0,27,0,27,1,0,0,0,0,0,27,0,
@eth-optimism/contracts-bedrock,0.17.3,128506541,683,683,1,4,0,4,0.8,1,0,0.0002,0,0.0001,5,0,
@aws-amplify/graphql-api-construct,1.21.3,143878005,32655,32638,1,154,0,154,0.9935,1,0,0.0002,0,0.0001,155,0,
react-native-skia-android,147.1.0,228467070,38,38,0,0,0,0,0,0,0,0,0,0,0,0,
react-native-skia-apple-ios,147.1.0,214452582,26,26,0,0,0,0,0,0,0,0,0,0,0,0,
@trufflesuite/uws-js-unofficial,20.30.0-unofficial.0,117587139,89,89,0,5,0,5,1,0,0,0,0,0,5,0,
react-native-skia-apple-tvos,147.1.0,214457708,26,26,0,0,0,0,0,0,0,0,0,0,0,0,
@aws-amplify/data-construct,1.17.3,142149976,31859,31842,0,153,1,152,1,0,1,0,0.0002,0.0001,153,0,
