package,version,fan_in_global,fan_out_global,jt_in_degree,jt_out_degree,jt_instability,global_instability,jt_dependency_score,msr_ecosystem_risk_score
choerodon-ui,1.6.7,24,220,0,0,1.0000,0.9016,220,12.60
@cardstack/hub,0.28.7,20,102,0,0,1.0000,0.8361,102,11.05
azure,2.3.1-preview,110,118,0,0,1.0000,0.5175,118,10.59
coveo-search-ui,2.10125.2,69,93,0,0,1.0000,0.5741,93,10.59
polyfill-library,4.8.0,27,68,0,1,1.0000,0.7158,68,10.36
@wix/ricos,11.0.1,12,136,0,0,1.0000,0.9189,134,10.24
rhachet,1.41.14,40,64,1,1,0.9846,0.6154,65,9.92
@polygonjs/polygonjs,1.5.98,13,70,1,0,0.9859,0.8434,71,9.67
@syncfusion/ej2,33.2.7,23,51,0,0,1.0000,0.6892,51,9.51
botframework-webchat,4.18.2,28,50,0,0,1.0000,0.6410,50,9.37
@buildonspark/spark-sdk,0.8.1,18,43,0,0,1.0000,0.7049,43,9.01
@datagrok/chem,1.17.8,19,42,0,0,1.0000,0.6885,42,8.96
@venusprotocol/venus-protocol,10.2.0-xaum.1,10,61,1,0,0.9836,0.8592,61,8.95
@uma/core,2.62.2,13,45,0,0,1.0000,0.7759,45,8.89
aid-desktop,1.0.53,8,82,0,0,1.0000,0.9111,82,8.69
gdal-async,3.12.3,19,38,0,0,1.0000,0.6667,38,8.67
linkmore-design,3.1.1,7,126,0,0,1.0000,0.9474,126,8.56
itk,14.1.1,14,37,1,0,0.9737,0.7255,38,8.53
@react-native-oh/react-native-harmony,0.82.29,16,36,0,0,1.0000,0.6923,36,8.52
@concordium/web-sdk,12.0.2,9,43,0,0,1.0000,0.8269,43,8.27
name-suggestion-index,7.2.20260515,15,32,1,0,0.9697,0.6809,33,8.20
@winglang/sdk,0.85.49,8,44,0,0,1.0000,0.8462,44,8.07
@faststore/core,4.1.1,6,72,0,1,1.0000,0.9231,72,7.80
prismarine-viewer,1.33.0,26,31,3,3,0.9118,0.5439,34,7.78
witnet-solidity-bridge,3.0.0,8,34,0,0,1.0000,0.8095,34,7.72
@openhps/rdf,1.1.7,6,63,1,0,0.9844,0.9130,64,7.72
aid-elements,2.0.13,20,28,0,0,1.0000,0.5833,28,7.71
