package,total_functions,inner_mean,inner_median,inner_std_dev,inner_max_calls,inner_outlier_count
choerodon-ui,170298,14.44,2,527.43,84746,86
@cardstack/hub,186304,9.90,2,697.60,179530,36
azure,270004,6.64,2,50.12,2383,970
coveo-search-ui,91487,8.16,2,179.25,35176,57
polyfill-library,5758,6.07,2,27.54,720,61
@wix/ricos,88572,4.01,1,23.07,3672,328
rhachet,1301,4.42,1,14.01,410,6
@polygonjs/polygonjs,112143,6.48,1,267.78,58610,62
@syncfusion/ej2,62070,13.14,2,1546.66,385291,1
botframework-webchat,53483,11.82,2,536.19,57755,15
@buildonspark/spark-sdk,13042,3.69,2,6.44,138,229
@datagrok/chem,24866,11.55,2,296.81,23392,32
@venusprotocol/venus-protocol,3130,0.72,0,1.48,27,23
@uma/core,1938,0.63,1,0.69,6,5
aid-desktop,138905,8.76,2,156.04,20756,252
gdal-async,4093,4.41,2,25.88,1521,8
linkmore-design,84478,12.39,2,490.14,77658,44
itk,276430,9.81,2,624.74,176436,37
@react-native-oh/react-native-harmony,4162,6.11,2,68.36,3104,3
@concordium/web-sdk,23314,17.82,1,778.21,67027,9
name-suggestion-index,2386,9.79,2,144.64,4825,3
@winglang/sdk,150160,6.72,1,288.24,72323,74
@faststore/core,239,9.87,4,13.16,76,8
prismarine-viewer,9599,6.87,1,156.96,10661,4
witnet-solidity-bridge,53,3.06,3,2.60,13,1
@openhps/rdf,358668,3.43,0,160.52,43882,145
aid-elements,32,7.88,3,9.32,27,0
@aws-amplify/graphql-api-construct,70606,3.84,1,24.62,3189,245
@hyperlane-xyz/core,35781,11.05,2,573.02,94517,4
aerospike,871,2.65,1,6.90,134,11
@nevermined-io/sdk,83638,9.39,1,404.34,44037,22
@wppconnect/wa-version,183,3.87,2,4.31,14,0
mobilenftminter,4,0.00,0,0.00,0,0
@signalapp/libsignal-client,725,1.54,1,1.63,14,14
@firestone-hs/hs-replay-xml-parser,327,6.08,1,15.63,122,7
funk,184803,18.78,2,758.53,68898,65
britecharts,137887,11.18,1,131.64,8741,489
@superfluid-finance/ethereum-contracts,12,7.00,2.5,9.57,35,0
@oicl/openbridge-webcomponents,21862,2.38,1,7.07,644,145
@venusprotocol/isolated-pools,940,1.18,1,2.81,36,21
@capillarytech/creatives-library,16208,12.38,3,57.63,1338,272
@setprotocol/set-protocol-v2,5722,2.65,1,8.71,345,43
fauna-shell,0,0,0,0,0,0
rocksdb-native,136,2.10,2,2.30,12,3
permitio,44529,6.63,2,38.04,1718,242
monocdk,64452,5.28,3,10.18,1525,741
@fairmint/canton-node-sdk,1101,1.78,1,4.38,68,16
ol-cesium,67636,6.62,1,268.39,50346,36
@cdktn/provider-aws,232349,1.09,0,2.95,318,4871
react-native-engine,146,2.77,2,3.08,19,4
@cdktf/provider-azurerm,155190,1.04,0,2.79,71,4139
@imgly/background-removal-node,0,0,0,0,0,0
gisviewer-vue,106436,10.33,2,694.69,120425,11
@proteinjs/reflection-build,210205,7.65,2,316.85,69719,132
@cdktf/provider-kubernetes,76991,1.13,0,2.84,45,2209
@initia/builder.js,62,2.52,1,3.60,13,0
cldr,390,5.86,3,9.57,108,7
@vechain/vebetterdao-contracts,14137,22.12,1,118.82,3105,158
funcunit,244426,7.49,2,100.42,16335,545
bids-validator,41598,6.04,2,56.71,5346,123
react-native-wgpu,134,2.31,1,2.89,13,4
liquibase,330,2.42,1,8.55,88,3
ut-tools,163360,9.35,2,151.51,16169,353
@ibm/plex,0,0,0,0,0,0
dashjs,85433,11.89,2,251.79,21858,54
@haxtheweb/video-player,131,4.63,2,7.00,48,2
cloud-ui.vusion,42845,11.39,2,336.43,35135,39
ltkefuxitongcyj,6632,11.52,2,148.29,7586,20
nw-gyp,293,8.25,4,18.90,191,6
cytoscape-cx2js,2627,10.21,2,135.10,5624,7
terriajs,77505,10.64,2,648.05,176806,16
@carbon/icons-angular,53342,10.31,0,335.67,77471,1
@tabler/icons-webfont,0,0,0,0,0,0
itk-vtk-viewer,108097,9.45,1,311.50,49514,333
@here/harp-map-theme,0,0,0,0,0,0
@asyncapi/studio,227456,8.43,2,305.63,95678,160
vue2-client,9984,5.84,2,92.70,8838,13
tdesign-web-components,97017,12.36,2,527.71,100688,47
all-the-package-repos,0,0,0,0,0,0
@diplodoc/cli,43343,7.17,2,69.13,8158,132
@cumulus/api,187657,9.10,2,440.12,160066,51
@xdh/my,461448,9.94,2,183.49,30683,692
@things-scene/visualizer,7260,6.57,1,97.63,6872,15
@alpaca-finance/alpaca-contract,2142,0.77,1,0.92,3,0
@cdktf/node-pty-prebuilt-multiarch,295,5.19,2,10.55,100,8
@iy4u/common-client-lib,453,3.77,1,7.16,83,7
repzo,598,1.98,1,23.01,564,1
jcamp-data-test,4,3.50,3.5,0.50,4,0
electron-apps,196,7.95,3,21.38,147,6
coinstac-simulator,28,5.50,2,8.53,37,1
@wix/bex-utils,130492,10.71,1,299.55,40783,205
hyposcript,62,10.35,3,26.61,202,1
@mantleio/contracts-bedrock,28,3.50,2,3.79,14,0
@bonfhir/codegen,0,0,0,0,0,0
@cpp.js/package-gdal,2,0.00,0,0.00,0,0
deepspeech,24,1.67,1,1.07,3,0
fusionmaps,46312,7.39,1,157.90,21210,45
@sonarwatch/token-lists,0,0,0,0,0,0
@fex-to/provider-icons,2515,2.02,0,38.99,1902,5
@microsoft/sp-webpart-workbench,190518,9.60,1,202.15,36522,216
desk-ui,286755,11.40,2,125.66,9064,798
bruker-data-test,1,2.00,2,0.00,2,0
@cdktf/provider-google,164198,1.04,0,2.59,187,4831
wc-range-datepicker,171052,12.00,2,317.94,56693,192
@distilled.cloud/aws,80152,4.56,3,7.13,877,848
@portal-hq/core,1893,3.78,2,5.21,45,26
code-server,366826,4.61,1,34.59,7730,1078
@stdlib/datasets,126,1.75,1,2.73,22,2
froala-design-blocks,26,4.77,2,6.49,29,1
@lunapaint/tga-codec,66,3.68,1.5,4.92,26,2
sirocco-wc,14,10.50,6,10.40,38,0
dep,186412,9.97,2,250.20,54105,201
osloweb3game,37311,9.88,1,143.16,6849,76
cycletls,117,4.79,1,8.73,52,4
@progress/kendo-ui,211500,8.93,2,386.48,115208,73
@layerzerolabs/lz-evm-sdk-v2,0,0,0,0,0,0
@layerzerolabs/lz-evm-sdk-v1,0,0,0,0,0,0
statebus,5371,9.70,2,85.41,2221,20
nlptoolkit-wordnet,135,3.99,1,11.29,94,3
@material-symbols-svg/react,4,5.50,5.5,5.02,11,0
german-administrative-areas,0,0,0,0,0,0
jeol-data-test,0,0,0,0,0,0
php-wasm,18605,7.85,2,128.81,3635,24
@ensdomains/ens-contracts,1670,18.32,7,54.07,876,33
iso3166-2-db,94,1.49,1,2.39,13,3
react-grab,74265,6.79,2,57.89,5085,224
@dxos/signal,1,1.00,1,0.00,1,0
@celo/celo-devchain,14,1.50,0,2.16,6,0
react-native-barcode-builder,2,0.00,0,0.00,0,0
@duckdb/duckdb-wasm,16448,9.95,1,234.09,11543,16
devicon,42,4.00,2.5,4.94,29,1
@prisma/sdk,1105,2.42,1,5.09,60,21
china-division,62,7.32,4,8.50,44,1
db-hafas-stations,3,2.33,3,1.70,4,0
@stargatefinance/stg-evm-v2,0,0,0,0,0,0
@topichub/core,167395,5.80,2,62.40,9221,227
@kong/spec-renderer,62935,11.78,2,351.74,44088,50
@sencha/eslint-plugin-extjs,252,3.40,1,6.14,55,5
nmredata-data-test,0,0,0,0,0,0
@andes/plex,23925,10.26,2,305.90,33874,12
@hippy/chrome-devtools,130285,3.64,1,50.67,11808,62
@morpheme/ui,1471808,6.87,2,119.63,16169,1965
huge-tree,466,6.23,2,46.20,943,2
victory-docs,18183,10.23,2,200.19,14870,17
mbed-cloud-sdk,198328,6.98,2,114.90,7466,102
@dcl/inspector,76269,9.34,1,702.73,188099,13
@connext/smart-contracts,1689,1.91,0,6.29,72,42
@dharmaprotocol/contracts,30,8.13,5,9.58,38,1
websnark,18964,8.78,2,169.20,19926,27
@sourcegraph/cody,10480,4.74,2,30.25,1725,23
myui-bootstrap-kr,3272,10.52,3,67.24,1744,17
@_unit/unit,66979,6.58,1,257.87,25559,13
@neo4j-cypher/language-support,21963,7.84,1,633.70,93862,1
@vladmandic/human-models,4,8.25,0.5,13.72,32,0
@kiwicom/translations,0,0,0,0,0,0
@envanik/exchange-contracts,2,2.50,2.5,0.50,3,0
@octokit/openapi,0,0,0,0,0,0
@anyone-protocol/anyone-client,233,4.72,2,6.74,38,8
@gzued/antd-compiled,124401,8.76,2,247.43,32033,43
@jonbrennecke/react-native-media,2444,6.53,2,54.66,1320,10
ipsamqui,280345,8.07,2,328.90,70947,140
bare-ffmpeg,374,1.01,1,0.71,7,4
@rlmartin-projen/cdktf-project,219823,1.15,0,8.46,2668,257
@fmsim/fmsim-restful,35778,7.64,2,138.64,17197,53
guide4you,11036,9.84,2,260.39,27145,4
powerdlz23,30951,8.57,2,228.41,28941,25
@hugeicons/react-pro,26,155.46,2,759.12,3951,1
innoq-styleguide,1154,8.82,2,98.73,2787,3
distilled-aws,78889,4.56,3,7.15,877,749
obs-studio-node,19,1.79,0,2.65,9,0
@theforeman/vendor,175166,5.80,1,121.72,41657,137
openapi-directory,15,3.40,1,6.56,21,0
@gooddata/fixtures,46,3.96,3,3.36,16,1
bdk-rn,147,1.06,1,0.96,5,7
react-native-myapp,2,0.00,0,0.00,0,0
@mchp-mcc/pic-16bit,0,0,0,0,0,0
@aragon/aragen,221060,5.67,2,77.30,18422,328
@matbee/libreoffice-converter,2151,5.33,2,40.37,1830,5
@cdktf/provider-google-beta,176538,1.04,0,2.60,201,5180
bare-sidecar,16,2.19,1,2.83,11,1
@aztec/bb.js,2371,2.51,1,6.33,127,19
@qvac/llm-llamacpp,41,3.07,2,3.85,19,1
@kaoto/camel-catalog,0,0,0,0,0,0
@crunchdao/shared-cli,29827,5.33,2,33.24,1005,135
@cpp.js/package-spatialite,4,0.00,0,0.00,0,0
@xmtp/node-bindings,7,22.43,3,49.64,144,0
react-native-bare-kit,31,1.65,1,1.86,8,1
meta-client,9546,6.61,1,109.67,6063,9
@0x/mesh-browser,632,1.03,1,0.57,14,3
@zkopru/prisma,3138,5.79,2,17.71,370,45
gulp-letters,188564,5.84,2,50.94,3723,416
dolphin888,2284,7.99,2,61.73,1822,10
wasmsnark,18613,8.89,2,170.87,19926,27
poker-evaluator,26,3.46,2,4.29,21,1
datamaps,41678,12.10,2,48.54,3114,528
mongo-unit,26,3.69,3,2.48,10,0
cypress-browser-extension-plugin,113,4.88,3,6.02,39,3
vbb-trips,12,4.00,1,5.60,16,0
sx.nexpo.desktop,21946,8.60,2,92.47,7074,56
@aws-cdk/aws-quicksight,6017,8.07,6,8.40,73,108
@qvac/embed-llamacpp,27,2.48,1,2.56,10,0
@synanetics/fhir-transform,0,0,0,0,0,0
@temporalio/core-bridge,34,2.47,1.5,3.38,16,2
bebop-tools,0,0,0,0,0,0
fixparser,0,0,0,0,0,0
@roninbuilders/contracts,0,0,0,0,0,0
shr-fhir-export,3984,7.19,2,59.72,1803,13
@atrilabs/app-generator,569626,8.85,2,218.72,63331,942
echarts-china-cities-js,7786,7.00,4,158.40,13939,1
react-native-replace-dialer,36,13.69,4,33.53,202,1
@kopjra/embedpdf-engines,4518,7.80,2,74.99,1594,10
@relicx_/kernel,2216,11.11,1,76.78,2980,16
