package,fan_in_prod,fan_in_dev,fan_in_total
--123hoodmane-pyodide,1,0,1
0byte-opencode-linux-x64,0,0,0
0byte-opencode-linux-x64-baseline,0,0,0
0byte-opencode-linux-x64-baseline-musl,0,0,0
0x-monorepo-development,0,0,0
256art-images,0,0,0
2acoin-cryptonote-util,0,0,0
3d-specimen-viewer,0,0,0
3dwayfinder-angular,1,0,1
404skill,0,0,0
42q-shared-ui,0,0,0
9router-fdk,1,0,1
@008byebye/omniclip-pro,0,0,0
@0x/mesh-browser,1,1,2
@0xb/icbc-helper,0,0,0
@0xpolygonid/snap-example,0,0,0
@2pi-network/js-sdk,0,0,0
@3dbionotes/pdbe-molstar,0,0,0
@3kmfi6hp/nodejs-proxy,1,0,1
@42ailab/42plugin-win32-x64,0,0,0
@4based/moment-editor,0,0,0
@_unit/unit,2,0,2
@a2a-ai/ata-shell-tool-mcp,0,0,0
@aaif/goose-binary-darwin-arm64,0,0,0
@aaif/goose-binary-darwin-x64,0,0,0
@aaif/goose-binary-linux-arm64,0,0,0
@aaif/goose-binary-linux-x64,0,0,0
@aaif/goose-binary-win32-x64,0,0,0
@abancu/explorer-core-plugins,0,0,0
@abhinav_36/cra-template,0,0,0
@ablative/modlr-linux-x64,0,0,0
@acalcutt/maplibre-gl-native,1,0,1
@acentera/node,1,0,1
@action-agenda/map-counts,0,0,0
@adaptic/backend-legacy,1,0,1
@adens/openwa,0,0,0
@adguard/dnr-rulesets,0,0,0
@adobe/coral-spectrum,0,0,0
@adobe/spectrum-express-tokens,0,0,0
@adobe/spectrum-tokens-deprecated,0,1,1
@adunne09/waldo-darwin-x64,0,0,0
@adunne09/waldo-linux-arm64,0,0,0
@adunne09/waldo-linux-x64,0,0,0
@adunne09/waldo-windows-x64,0,0,0
@adversity/mcp-database-linux-x64,0,0,0
@adversity/mcp-database-win32-x64,0,0,0
@aekanun/dev-ragdocs,0,0,0
@aerisweather/react-mapsgl,0,0,0
@agenshield/cli-darwin-arm64,0,0,0
@agent-facets/cli-windows-x64,0,0,0
@agent-facets/cli-windows-x64-baseline,0,0,0
@agent-lite/codex,0,0,0
@agent-orcha/node-omni-orcha-linux-x64-cuda,0,0,0
@agent-orcha/node-omni-orcha-win32-x64-cuda,0,0,0
@agent-our/openclaw,0,0,0
@agent-webui/ai-desk-python-linux-arm64,0,0,0
@agent-webui/ai-desk-python-linux-x64,0,0,0
@agent-webui/ai-desk-python-win32-x64,0,0,0
@agenticmail/enterprise,0,0,0
@agentmark-ai/cli,0,0,0
@agentmark/cli,0,0,0
@agents-shire/cli-linux-arm64,0,0,0
@agents-shire/cli-linux-x64,0,0,0
@agents-shire/cli-win32-x64,0,0,0
@agentxjs/portagent,0,0,0
@agicrew/sidecar-dashboard,0,0,0
@agilemotion/oui-react-js,0,0,0
@agntcy/slim-bindings,0,0,0
@ai-apps/angular,0,0,0
@ai-git/win32-x64,0,0,0
@ai-nd-co/codex,0,0,0
@ai-nd-co/codex-sdk,0,0,0
@aicademy/ailo-agent,0,0,0
@aicontextlab/core-native-win32-x64-msvc,0,0,0
@aictrl/cli-linux-x64,0,0,0
@aidenlx/ffmpeg-static,0,0,0
@aiot-toolkit/velasim,0,1,1
@aivsw/icon,0,0,0
@akylas/nativescript-ios-runtime,0,0,0
@alan-ai/alan-sdk-react-native,0,0,0
@alexjpaz/cody,0,0,0
@alifd/chat,0,0,0
@alifd/meet-docs,0,0,0
@alisasasasaasas/opencode-linux-x64,0,0,0
@alisasasasaasas/opencode-linux-x64-baseline,0,0,0
@alpaca-finance/alpaca-contract,1,2,3
@altimateai/altimate-code-darwin-arm64,0,0,0
@altimateai/altimate-code-darwin-x64,0,0,0
@altimateai/altimate-code-darwin-x64-baseline,0,0,0
@altimateai/altimate-code-linux-arm64,0,0,0
@altimateai/altimate-code-linux-arm64-musl,0,0,0
@altimateai/altimate-code-linux-x64,0,0,0
@altimateai/altimate-code-linux-x64-baseline,0,0,0
@altimateai/altimate-code-linux-x64-baseline-musl,0,0,0
@altimateai/altimate-code-linux-x64-musl,0,0,0
@altimateai/altimate-code-windows-arm64,0,0,0
@altimateai/altimate-code-windows-x64,0,0,0
@altimateai/altimate-code-windows-x64-baseline,0,0,0
@aluckylife/node-ctp-sdk,2,0,2
@alumnium/cli-windows-arm64,0,0,0
@alumnium/cli-windows-x64,0,0,0
@alvix/xenova-models,0,0,0
@amazon-devices/sentry__react-native,0,0,0
@amazon-sumerian-hosts/three,0,0,0
@amcharts/amcharts4-ember,0,0,0
@amcharts/amcharts4-geodata,11,5,16
@amcharts/amcharts5-geodata,6,0,6
@amihhs/quickly-dev-exe,0,0,0
@aminya/solid-icons,0,0,0
@aml-org/als-server,0,0,0
@anandaajirus/workspace,0,0,0
@andatoshiki/toshiki-cdn,0,0,0
@andes/plex,0,2,2
@andeya/token-free-gateway-win32-x64,0,0,0
@anelsonnpm/web-development-tools,0,0,0
@anieo/codegenie-cli-linux-arm64,0,0,0
@anieo/codegenie-cli-linux-arm64-musl,0,0,0
@anieo/codegenie-cli-linux-x64,0,0,0
@anieo/codegenie-cli-linux-x64-baseline,0,0,0
@anieo/codegenie-cli-linux-x64-baseline-musl,0,0,0
@anieo/codegenie-cli-linux-x64-musl,0,0,0
@anieo/codegenie-cli-windows-arm64,0,0,0
@anieo/codegenie-cli-windows-x64,0,0,0
@anieo/codegenie-cli-windows-x64-baseline,0,0,0
@anieo/opencode-linux-arm64,0,0,0
@anieo/opencode-linux-x64-baseline-musl,0,0,0
@anjanpoonacha/opencode,0,0,0
@ankhaa/able_ui,0,0,0
@annotorious/plugin-segment-anything,0,0,0
@anonymous-dev/0x0-linux-arm64,0,0,0
@anonymous-dev/0x0-linux-arm64-musl,0,0,0
@anonymous-dev/0x0-linux-x64,0,0,0
@anonymous-dev/0x0-linux-x64-baseline,0,0,0
@anonymous-dev/0x0-linux-x64-baseline-musl,0,0,0
@anonymous-dev/0x0-linux-x64-musl,0,0,0
@anonymous-dev/0x0-server-linux-arm64,0,0,0
@anonymous-dev/0x0-server-linux-arm64-musl,0,0,0
@anonymous-dev/0x0-server-linux-x64,0,0,0
@anonymous-dev/0x0-server-linux-x64-baseline,0,0,0
@anonymous-dev/0x0-server-linux-x64-baseline-musl,0,0,0
@anonymous-dev/0x0-server-linux-x64-musl,0,0,0
@anonymous-dev/0x0-server-windows-x64,0,0,0
@anonymous-dev/0x0-server-windows-x64-baseline,0,0,0
@anonymous-dev/0x0-windows-x64,0,0,0
@anonymous-dev/0x0-windows-x64-baseline,0,0,0
@ansvar/polish-law-mcp,0,0,0
@ansvar/russian-law-mcp,0,0,0
@ansvar/zimbabwe-law-mcp,0,0,0
@antcube/capnp,0,0,0
@anthropic-ai/claude-code-darwin-arm64,0,0,0
@anthropic-ai/claude-code-darwin-x64,0,0,0
@anthropic-ai/claude-code-linux-arm64,0,0,0
@anthropic-ai/claude-code-linux-arm64-musl,0,0,0
@anthropic-ai/claude-code-linux-x64,0,0,0
@anthropic-ai/claude-code-linux-x64-musl,0,0,0
@anthropic-ai/claude-code-win32-arm64,0,0,0
@anthropic-ai/claude-code-win32-x64,0,0,0
@antimatterhq/antimatter,0,0,0
@antinomyhq/forge,0,0,0
@antprofuse/vb-linux-x64-gnu,0,0,0
@anyone-protocol/anyone-client,3,0,3
@apache-royale/royale-js,0,5,5
@apache-royale/royale-js-swf,0,0,0
@apoorva2405/uxp-devtools-app,0,0,0
@appaloft/cli-linux-arm64-gnu,0,0,0
@appaloft/cli-linux-arm64-musl,0,0,0
@appaloft/cli-linux-x64-gnu,0,0,0
@appaloft/cli-linux-x64-musl,0,0,0
@appaloft/cli-win32-arm64,0,0,0
@appaloft/cli-win32-x64,0,0,0
@applica-of-things/viro-applica-of-things,0,0,0
@appthreat/cdxgen-plugins-bin,1,0,1
@apteva/apteva-win32-x64,0,0,0
@aptos-scp/scp-component-rn-device-services,0,0,0
@aqueduct/telegram-t,0,0,0
@aragon/aragen,2,0,2
@araucariaid/create-ssx-next-dapp,0,0,0
@archbee/postman-code-generators,0,0,0
@arctic-cli/arctic-darwin-arm64,0,0,0
@arctic-cli/arctic-darwin-x64,0,0,0
@arctic-cli/arctic-darwin-x64-baseline,0,0,0
@arctic-cli/arctic-linux-arm64,0,0,0
@arctic-cli/arctic-linux-arm64-musl,0,0,0
@arctic-cli/arctic-linux-x64,0,0,0
@arctic-cli/arctic-linux-x64-baseline,0,0,0
@arctic-cli/arctic-linux-x64-baseline-musl,0,0,0
@arctic-cli/arctic-linux-x64-musl,0,0,0
@arctic-cli/arctic-windows-x64,0,0,0
@arctic-cli/arctic-windows-x64-baseline,0,0,0
@ardentcode/sports-lib,0,0,0
@argycloud/argy-linux-arm64,0,0,0
@argycloud/argy-linux-x64,0,0,0
@argycloud/argy-linux-x64-baseline,0,0,0
@argycloud/argy-windows-x64,0,0,0
@argycloud/argy-windows-x64-baseline,0,0,0
@arietta-studio/assets-emoji-anim,0,0,0
@arifodev/react-viro,0,0,0
@arken/node,0,0,0
@around25/react-native-swipe-pager,0,0,0
@arrowai/adk,0,0,0
@artsdatabanken/dump-mbtiles-metadata,0,0,0
@ashew/hello-world,0,0,0
@assembless/react-native-material-you,0,0,0
@astudioplus/codegraph-mcp,0,0,0
@asyncapi/studio,3,0,3
@atlaspack/rust,19,0,19
@atonis/cli,0,0,0
@atrilabs/app-generator,2,0,2
@atrvd/onsteroids,0,0,0
@automagik/forge,1,0,1
@avalos/extjs-gpl,0,0,0
@avemeva/agent-telegram-linux-arm64,0,0,0
@avemeva/agent-telegram-linux-x64,0,0,0
@avemeva/agent-telegram-win32-x64,0,0,0
@awlsring/cdk-aws-discord-notifiers,0,0,0
@aws-amplify/data-construct,1,0,1
@aws-amplify/graphql-api-construct,5,0,5
@aws-cdk/aws-quicksight,2,1,3
@aws-prototyping-sdk/cdk-graph-plugin-diagram,0,0,0
@aws/app-framework-for-github-apps-on-aws,0,0,0
@aws/aws-tools-for-babylonjs-editor-open-source-hosts-plugin,0,0,0
@axmit/flow-helper,0,1,1
@ayahub/assets-emoji-anim,0,0,0
@ayjays132/phill-cli,0,0,0
@ayufaan18/ayufaan18,0,0,0
@aztec/bb.js,75,10,85
@aztec/l1-artifacts,22,0,22
@azure/mcp-darwin-x64,1,0,1
@azure/mcp-linux-x64,1,0,1
@babylonjs/react-native-basekit-windows-0-64,0,0,0
@babylonjs/react-native-basekit-windows-0-65,0,0,0
@babylonjs/react-native-basekit-windows-0-69,0,0,0
@babylonjs/react-native-basekit-windows-0-70,0,0,0
@babylonjs/react-native-basekit-windows-0-71,0,0,0
@babylonjs/react-native-windows,0,0,0
@babylonjs/react-native-windows-0-64,0,0,0
@babylonjs/react-native-windows-0-65,0,0,0
@babylonjs/react-native-windows-0-69,0,0,0
@babylonjs/react-native-windows-0-70,0,0,0
@babylonjs/react-native-windows-0-71,0,0,0
@babylonjs/react-native-windows-0.70,0,0,0
@badatgil/expo-mapbox-navigation,0,0,0
@baidumap/mapv-three,0,0,0
@based/db-server-linux-x64,0,0,0
@based/uws,2,0,2
@bbn/bbn-cp,0,0,0
@beam-me-up/cats,0,0,0
@beamnetwork/erc777,0,0,0
@beanstalk/wells,0,0,0
@beaverfy/expo-fitbit,0,0,0
@beeai/cli,0,0,0
@beland/unity-renderer,1,1,2
@belife/belife-bim-air,0,0,0
@bentley/imodel-selector,0,0,0
@bentley/imodeljs-darwin-arm64,0,0,0
@bentley/imodeljs-darwin-x64,0,0,0
@bentley/imodeljs-linux-x64,0,0,0
@bentley/imodeljs-win32-x64,0,0,0
@bethinkpl/design-system,0,0,0
@betterdb/monitor,0,0,0
@bgoonz11/repoutils,0,0,0
@bhumika-ai/bhumika-cli-linux-x64,0,0,0
@bienvenueenmordor/test-mbr,0,0,0
@bigbangcore/react-native-linkface,0,1,1
@bigtimebuddy-dev/install-stress-test,0,0,0
@bikehopper/node-tippecanoe,0,0,0
