package,fan_out,dependencies_count,dev_dependencies_count
@cloudflare/workerd-linux-64,0,0,0
googleapis,42,2,40
@next/swc-linux-arm64-gnu,0,0,0
app-builder-bin,0,0,0
@next/swc-linux-x64-musl,0,0,0
onnxruntime-web,35,6,29
onnxruntime-node,9,3,6
@anthropic-ai/claude-code-linux-x64,0,0,0
@pnpm/linux-x64,1,0,1
@zed-industries/codex-acp-linux-x64,0,0,0
@next/swc-linux-arm64-musl,0,0,0
@next/swc-darwin-arm64,0,0,0
@next/swc-linux-x64-gnu,0,0,0
@next/swc-win32-x64-msvc,0,0,0
@temporalio/core-bridge,5,2,3
@next/swc-darwin-x64,0,0,0
next,227,6,221
dashjs,58,16,42
@anthropic-ai/claude-code-darwin-arm64,0,0,0
@bufbuild/buf-linux-x64,0,0,0
@github/copilot-linux-x64,0,0,0
@lancedb/lancedb-linux-x64-gnu,0,0,0
@github/copilot,0,0,0
@cloudflare/workerd-linux-arm64,0,0,0
opencode-linux-x64-baseline-musl,0,0,0
@google-cloud/compute,18,1,17
flow-bin,0,0,0
@anthropic-ai/claude-code-win32-x64,0,0,0
opencode-linux-x64-baseline,0,0,0
@fluentui/react-icons,17,2,15
@node-llama-cpp/linux-x64-cuda-ext,0,0,0
react-grab,16,2,14
@node-llama-cpp/linux-x64-cuda,0,0,0
opencode-linux-x64,0,0,0
@formatjs/intl-datetimeformat,4,2,2
@anthropic-ai/claude-code-linux-x64-musl,0,0,0
ffprobe-static,1,0,1
opencode-linux-x64-musl,0,0,0
@lancedb/lancedb-win32-x64-msvc,0,0,0
@tensorflow/tfjs,45,11,34
@ibm/plex,27,1,26
node-linux-x64,0,0,0
@oven/bun-windows-x64,0,0,0
@cdktf/node-pty-prebuilt-multiarch,17,2,15
@bufbuild/buf-linux-aarch64,0,0,0
@duckdb/duckdb-wasm,33,2,31
opencode-windows-x64-baseline,0,0,0
opencode-windows-x64,0,0,0
@next/swc-freebsd-x64,0,0,0
@oven/bun-windows-x64-baseline,0,0,0
@iconify/json,10,2,8
react-native-skia-android,0,0,0
@lancedb/lancedb-linux-x64-musl,0,0,0
@github/copilot-language-server,1,1,0
@evilmartians/lefthook,0,0,0
react-native-skia-apple-ios,0,0,0
react-native-skia-apple-tvos,0,0,0
@lancedb/lancedb-linux-arm64-gnu,0,0,0
@aws-amplify/graphql-api-construct,154,143,11
@cdktf/provider-aws,17,0,17
@highcharts/map-collection,0,0,0
