package,funcion_cpl,file_cpl,instability,clase_cpl
@next/swc-linux-arm64-gnu,0,0,0,0
@cloudflare/workerd-linux-64,0,0,0,0
@next/swc-linux-x64-gnu,0,0,0,0
@next/swc-linux-arm64-musl,0,0,0,0
@next/swc-linux-x64-musl,0,0,0,0
@next/swc-darwin-arm64,0,0,0,0
@next/swc-win32-x64-msvc,0,0,0,0
@next/swc-darwin-x64,0,0,0,0
app-builder-bin,0,0,0,0
@pnpm/linux-x64,0,0,0,0
@temporalio/core-bridge,0,0,4.6667000000000005,0
opencode-linux-x64-baseline-musl,0,0,0,0
opencode-linux-x64-musl,0,0,0,0
@bufbuild/buf-linux-x64,0,0,0,0
@zed-industries/codex-acp-linux-x64,0,0,0,0
opencode-linux-x64-baseline,0,0,0,0
opencode-linux-x64,0,0,0,0
@anthropic-ai/claude-code-linux-x64,0,0,0,0
onnxruntime-node,0,0,5.5,0
@fluentui/react-icons,0,0,8151.3249,0
@lancedb/lancedb-linux-x64-gnu,0,0,0,0
@cloudflare/workerd-linux-arm64,0,0,0,0
@anthropic-ai/claude-code-darwin-arm64,0,0,0,0
flow-bin,0,0,1.5,0
@tensorflow/tfjs,0,0,11.916699999999999,0
@github/copilot-linux-x64,0,0,0,0
@anthropic-ai/claude-code-win32-x64,0,0,0,0
opencode-windows-x64,0,0,0,0
opencode-windows-x64-baseline,0,0,0,0
@lancedb/lancedb-win32-x64-msvc,0,0,0,0
@duckdb/duckdb-wasm,0,0,0,0
@node-llama-cpp/linux-x64-cuda,0,0,0,0
@anthropic-ai/claude-code-linux-x64-musl,0,0,0,0
@bufbuild/buf-linux-aarch64,0,0,0,0
node-linux-x64,0,0,0,0
@iconify/json,0,0,0,0
@cdktf/node-pty-prebuilt-multiarch,0,0,17.416599999999995,0
@next/swc-freebsd-x64,0,0,0,0
@pdftron/webviewer,0,0,1,0
@oven/bun-windows-x64,0,0,0,0
@oven/bun-windows-x64-baseline,0,0,0,0
ffprobe-static,0,0,1,0
@node-llama-cpp/linux-x64-cuda-ext,0,0,0,0
@highcharts/map-collection,0,0,0,0
@lancedb/lancedb-linux-x64-musl,0,0,0,0
@evilmartians/lefthook,0,0,2,0
@github/copilot-language-server,0,0,3,0
@lancedb/lancedb-linux-arm64-gnu,0,0,0,0
@progress/kendo-angular-intl,0,0,0,0
@ibm/plex,0,0,0,0
@eth-optimism/contracts-bedrock,0,0,0,0
react-native-skia-android,0,0,0,0
react-native-skia-apple-ios,0,0,0,0
@trufflesuite/uws-js-unofficial,0,0,7.666699999999999,0
react-native-skia-apple-tvos,0,0,0,0
@bufbuild/buf-darwin-arm64,0,0,0,0
@zed-industries/codex-acp-win32-x64,0,0,0,0
@zed-industries/codex-acp-linux-arm64,0,0,0,0
@anthropic-ai/claude-code-linux-arm64,0,0,0,0
git-cz,0,0,1.5,0
@bufbuild/buf-win32-x64,0,0,0,0
opencode-linux-arm64,0,0,0,0
@kilocode/cli-linux-x64-baseline-musl,0,0,0,0
@zed-industries/codex-acp-darwin-arm64,0,0,0,0
devicon,0,0,0,0
@kilocode/cli-linux-x64,0,0,0,0
opencode-linux-arm64-musl,0,0,0,0
@node-llama-cpp/win-x64-cuda,0,0,0,0
@kilocode/cli-linux-x64-musl,0,0,0,0
@bufbuild/buf-darwin-x64,0,0,0,0
@bufbuild/buf-win32-arm64,0,0,0,0
@kilocode/cli-linux-x64-baseline,0,0,0,0
fast-geoip,0,0,1,0
@lancedb/lancedb-win32-arm64-msvc,0,0,0,0
@cdktf/provider-datadog,0,0,33.528999999999996,0
@node-llama-cpp/win-x64-cuda-ext,0,0,0,0
@cdxgen/cdxgen-plugins-bin-linux-amd64,0,0,0,0
minecraft-data,0,0,21.1286,0
pspdfkit,0,0,2,0
@github/copilot-darwin-arm64,0,0,0,0
@op-engineering/op-sqlite,0,0,8.5,0
@syncfusion/ej2,0,0,2.9804,0
oh-my-opencode-windows-x64,0,0,0,0
oh-my-opencode-windows-x64-baseline,0,0,0,0
@cdktf/provider-kubernetes,0,0,55.33280000000001,0
@azure/mcp-linux-x64,0,0,1,0
oh-my-openagent-linux-x64,0,0,0,0
@neo4j-cypher/language-support,0,0,37.5577,0
opencode-windows-arm64,0,0,0,0
realm,0,0,109.47189999999995,0
oh-my-openagent-windows-x64,0,0,0,0
oh-my-openagent-windows-x64-baseline,0,0,0,0
@anthropic-ai/claude-code-darwin-x64,0,0,0,0
cldr,0,0,41.616299999999995,0
@pnpm/linux-arm64,0,0,0,0
google-closure-compiler-osx,0,0,0,0
oh-my-opencode-linux-x64,0,0,0,0
@shabados/database,0,0,3.1667,0
@tabler/icons-webfont,0,0,0,0
@deno/linux-x64-glibc,0,0,0,0
@aztec/bb.js,0,0,119.13230000000001,0
@cdktf/provider-azurerm,0,0,2,0
@imgly/background-removal-node,0,0,0,0
@bitgo-forks/cryptocurrency-icons,0,0,1,0
@github/copilot-linux-arm64,0,0,0,0
botframework-webchat,0,0,106.96659999999996,0
@lenml/tokenizer-gemma3,0,0,1.6667,0
@cyclonedx/cdxgen-plugins-bin-linux-amd64,0,0,0,0
@restatedev/restate-server-linux-x64,0,0,0,0
@restatedev/restate-linux-x64,0,0,0,0
dwt,0,0,0,0
@buildonspark/spark-sdk,0,0,22.0542,0
@atlaspack/rust,0,0,1,0
@wppconnect/wa-version,0,0,6.7001,0
@xmtp/node-bindings,0,0,1,0
@livestore/common-cf,0,0,14.5,0
aerospike,0,0,127.84669999999998,0
openapi-directory,0,0,3,0
gdal-async,0,0,106.35170000000001,0
@pnpm/macos-arm64,0,0,0,0
electron-apps,0,0,15.75,0
@aztec/l1-artifacts,0,0,0,0
rocksdb-native,0,0,3.9000000000000004,0
@mchp-mcc/pic-16bit,0,0,0,0
@elasticprojects/abstract-cli,0,0,1,0
@codemod.com/cli-linux-x64-gnu,0,0,0,0
@central-icons-react/all,0,0,1,0
nw-gyp,0,0,7.75,0
@matbee/libreoffice-converter,0,0,1,0
react-fluentui-emoji,0,0,2.9991000000000003,0
iso3166-2-db,0,0,6.6499999999999995,0
@antimatterhq/antimatter,0,0,22.18559999999999,0
@factory/cli-linux-x64,0,0,0,0
