package,file_count,file_fan_in_avg,file_fan_out_avg,func_count,func_fan_in_avg,func_fan_out_avg,class_count,class_fan_in_avg,class_fan_out_avg
@next/swc-linux-arm64-gnu,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@cloudflare/workerd-linux-64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@next/swc-linux-x64-gnu,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@next/swc-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@next/swc-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@next/swc-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@next/swc-win32-x64-msvc,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@next/swc-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
app-builder-bin,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@pnpm/linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@temporalio/core-bridge,14,0.7857,0.7857,9,0.2222,0.4444,10,0.0000,0.0000
opencode-linux-x64-baseline-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@bufbuild/buf-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@zed-industries/codex-acp-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@anthropic-ai/claude-code-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
onnxruntime-node,20,0.5000,0.5000,14,0.0000,0.0714,5,0.4000,0.4000
@fluentui/react-icons,8200,0.9990,0.9990,17,0.8235,1.1176,0,0.0000,0.0000
@lancedb/lancedb-linux-x64-gnu,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@cloudflare/workerd-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@anthropic-ai/claude-code-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
flow-bin,3,0.6667,0.6667,0,0.0000,0.0000,0,0.0000,0.0000
@tensorflow/tfjs,41,0.6585,0.6585,9443,0.0154,0.0161,364,1.2665,1.2665
@github/copilot-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@anthropic-ai/claude-code-win32-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-windows-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-windows-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@lancedb/lancedb-win32-x64-msvc,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@duckdb/duckdb-wasm,64,0.0000,0.0000,14194,0.0019,0.0026,98,0.9898,0.9898
@node-llama-cpp/linux-x64-cuda,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@anthropic-ai/claude-code-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@bufbuild/buf-linux-aarch64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
node-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@iconify/json,2,0.0000,0.0000,4,0.5000,0.5000,0,0.0000,0.0000
@cdktf/node-pty-prebuilt-multiarch,40,0.9750,0.9750,45,0.2444,0.3778,3,0.0000,0.0000
@next/swc-freebsd-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@pdftron/webviewer,314,0.0032,0.0032,12132,0.0645,0.0751,84,2.1667,2.1667
@oven/bun-windows-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@oven/bun-windows-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
ffprobe-static,2,0.5000,0.5000,0,0.0000,0.0000,0,0.0000,0.0000
@node-llama-cpp/linux-x64-cuda-ext,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@highcharts/map-collection,555,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@lancedb/lancedb-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@evilmartians/lefthook,3,0.6667,0.6667,2,0.0000,0.0000,0,0.0000,0.0000
@github/copilot-language-server,30,0.3667,0.3667,12395,0.0014,0.0024,246,1.5650,1.5813
@lancedb/lancedb-linux-arm64-gnu,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@progress/kendo-angular-intl,11,0.0000,0.0000,1,0.0000,0.0000,5,0.0000,0.0000
@ibm/plex,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@eth-optimism/contracts-bedrock,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
react-native-skia-android,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
react-native-skia-apple-ios,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@trufflesuite/uws-js-unofficial,21,1.0952,1.0952,36,0.0278,0.1667,16,1.8125,1.8125
react-native-skia-apple-tvos,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@bufbuild/buf-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@zed-industries/codex-acp-win32-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@zed-industries/codex-acp-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@anthropic-ai/claude-code-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
git-cz,4,0.5000,0.5000,1550,0.0013,0.0026,0,0.0000,0.0000
@bufbuild/buf-win32-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-linux-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-linux-x64-baseline-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@zed-industries/codex-acp-darwin-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
devicon,3,0.0000,0.0000,9,0.3333,0.4444,0,0.0000,0.0000
@kilocode/cli-linux-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
opencode-linux-arm64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@node-llama-cpp/win-x64-cuda,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-linux-x64-musl,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@bufbuild/buf-darwin-x64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@bufbuild/buf-win32-arm64,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@kilocode/cli-linux-x64-baseline,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
fast-geoip,4,0.5000,0.5000,10,0.1000,0.3000,0,0.0000,0.0000
@lancedb/lancedb-win32-arm64-msvc,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
@cdktf/provider-datadog,432,1.1250,1.1250,6568,0.5545,0.5545,9374,0.0000,0.0000
@node-llama-cpp/win-x64-cuda-ext,1,0.0000,0.0000,1,0.0000,0.0000,0,0.0000,0.0000
@cdxgen/cdxgen-plugins-bin-linux-amd64,1,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
