package,avg_dependency_centrality,avg_lines_per_file,avg_function_length,avg_parameters_per_func
@next/swc-linux-arm64-gnu,0.0000,0.0000,0.0000,0.0000
@cloudflare/workerd-linux-64,0.0000,0.0000,0.0000,0.0000
@next/swc-linux-x64-gnu,0.0000,0.0000,0.0000,0.0000
@next/swc-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@next/swc-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@next/swc-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@next/swc-win32-x64-msvc,0.0000,0.0000,0.0000,0.0000
@next/swc-darwin-x64,0.0000,0.0000,0.0000,0.0000
app-builder-bin,0.0000,19.0000,17.0000,0.0000
@pnpm/linux-x64,0.0000,0.0000,0.0000,0.0000
@temporalio/core-bridge,0.0604,109.2500,16.4444,1.1111
opencode-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
opencode-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@bufbuild/buf-linux-x64,0.0000,0.0000,0.0000,0.0000
@zed-industries/codex-acp-linux-x64,0.0000,0.0000,0.0000,0.0000
opencode-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
opencode-linux-x64,0.0000,0.0000,0.0000,0.0000
@anthropic-ai/claude-code-linux-x64,0.0000,0.0000,0.0000,0.0000
onnxruntime-node,0.0263,65.2000,37.2143,1.0714
@fluentui/react-icons,0.0002,23.0511,16.7647,2.4706
@lancedb/lancedb-linux-x64-gnu,0.0000,0.0000,0.0000,0.0000
@cloudflare/workerd-linux-arm64,0.0000,0.0000,0.0000,0.0000
@anthropic-ai/claude-code-darwin-arm64,0.0000,0.0000,0.0000,0.0000
flow-bin,0.3333,17.0000,0.0000,0.0000
@tensorflow/tfjs,0.0165,8913.4146,12.0712,2.0079
@github/copilot-linux-x64,0.0000,0.0000,0.0000,0.0000
@anthropic-ai/claude-code-win32-x64,0.0000,0.0000,0.0000,0.0000
opencode-windows-x64,0.0000,0.0000,0.0000,0.0000
opencode-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@lancedb/lancedb-win32-x64-msvc,0.0000,0.0000,0.0000,0.0000
@duckdb/duckdb-wasm,0.0000,26.1406,1.0074,2.9245
@node-llama-cpp/linux-x64-cuda,0.0000,12.0000,6.0000,0.0000
@anthropic-ai/claude-code-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@bufbuild/buf-linux-aarch64,0.0000,0.0000,0.0000,0.0000
node-linux-x64,0.0000,0.0000,0.0000,0.0000
@iconify/json,0.0000,42.5000,3.0000,0.7500
@cdktf/node-pty-prebuilt-multiarch,0.0250,81.9189,15.9333,1.8889
@next/swc-freebsd-x64,0.0000,0.0000,0.0000,0.0000
@pdftron/webviewer,0.0000,223.5064,1.1510,1.9395
@oven/bun-windows-x64,0.0000,0.0000,0.0000,0.0000
@oven/bun-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
ffprobe-static,0.5000,15.5000,0.0000,0.0000
@node-llama-cpp/linux-x64-cuda-ext,0.0000,12.0000,6.0000,0.0000
@highcharts/map-collection,0.0000,2.8829,0.0000,0.0000
@lancedb/lancedb-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@evilmartians/lefthook,0.3333,17.6667,15.5000,0.5000
@github/copilot-language-server,0.0126,12867.4762,5.4548,1.7633
@lancedb/lancedb-linux-arm64-gnu,0.0000,0.0000,0.0000,0.0000
@progress/kendo-angular-intl,0.0000,85.1818,4.0000,1.0000
@ibm/plex,0.0000,0.0000,0.0000,0.0000
@eth-optimism/contracts-bedrock,0.0000,0.0000,0.0000,0.0000
react-native-skia-android,0.0000,0.0000,0.0000,0.0000
react-native-skia-apple-ios,0.0000,0.0000,0.0000,0.0000
@trufflesuite/uws-js-unofficial,0.0548,120.5238,4.4167,1.6667
react-native-skia-apple-tvos,0.0000,0.0000,0.0000,0.0000
@bufbuild/buf-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@zed-industries/codex-acp-win32-x64,0.0000,0.0000,0.0000,0.0000
@zed-industries/codex-acp-linux-arm64,0.0000,0.0000,0.0000,0.0000
@anthropic-ai/claude-code-linux-arm64,0.0000,0.0000,0.0000,0.0000
git-cz,0.1667,21994.3333,13.9794,1.5355
@bufbuild/buf-win32-x64,0.0000,0.0000,0.0000,0.0000
opencode-linux-arm64,0.0000,0.0000,0.0000,0.0000
@kilocode/cli-linux-x64-baseline-musl,0.0000,0.0000,0.0000,0.0000
@zed-industries/codex-acp-darwin-arm64,0.0000,0.0000,0.0000,0.0000
devicon,0.0000,164.3333,14.4444,0.4444
@kilocode/cli-linux-x64,0.0000,0.0000,0.0000,0.0000
opencode-linux-arm64-musl,0.0000,0.0000,0.0000,0.0000
@node-llama-cpp/win-x64-cuda,0.0000,12.0000,6.0000,0.0000
@kilocode/cli-linux-x64-musl,0.0000,0.0000,0.0000,0.0000
@bufbuild/buf-darwin-x64,0.0000,0.0000,0.0000,0.0000
@bufbuild/buf-win32-arm64,0.0000,0.0000,0.0000,0.0000
@kilocode/cli-linux-x64-baseline,0.0000,0.0000,0.0000,0.0000
fast-geoip,0.1667,47.2500,14.8000,1.6000
@lancedb/lancedb-win32-arm64-msvc,0.0000,0.0000,0.0000,0.0000
@cdktf/provider-datadog,0.0026,1885.7500,25.3368,1.0000
@node-llama-cpp/win-x64-cuda-ext,0.0000,12.0000,6.0000,0.0000
@cdxgen/cdxgen-plugins-bin-linux-amd64,0.0000,1.0000,0.0000,0.0000
minecraft-data,0.0010,192.2353,24.9767,1.9070
pspdfkit,0.0003,404.3659,1.0000,1.7019
@github/copilot-darwin-arm64,0.0000,0.0000,0.0000,0.0000
@op-engineering/op-sqlite,0.0085,93.5263,20.9750,0.8250
@syncfusion/ej2,0.0141,49.2596,15.3659,1.6992
oh-my-opencode-windows-x64,0.0000,0.0000,0.0000,0.0000
oh-my-opencode-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@cdktf/provider-kubernetes,0.0031,2597.1981,21.5293,1.0000
@azure/mcp-linux-x64,0.5000,65.0000,24.0000,1.0000
oh-my-openagent-linux-x64,0.0000,0.0000,0.0000,0.0000
@neo4j-cypher/language-support,0.0106,8557.4327,10.4526,1.4009
opencode-windows-arm64,0.0000,0.0000,0.0000,0.0000
realm,0.0063,63.9228,21.7552,1.1678
oh-my-openagent-windows-x64,0.0000,0.0000,0.0000,0.0000
oh-my-openagent-windows-x64-baseline,0.0000,0.0000,0.0000,0.0000
@anthropic-ai/claude-code-darwin-x64,0.0000,0.0000,0.0000,0.0000
cldr,0.0204,99.5510,58.4615,1.2308
@pnpm/linux-arm64,0.0000,0.0000,0.0000,0.0000
google-closure-compiler-osx,0.0000,17.0000,0.0000,0.0000
oh-my-opencode-linux-x64,0.0000,0.0000,0.0000,0.0000
@shabados/database,0.0556,50.4000,10.7000,1.3000
@tabler/icons-webfont,0.0000,0.0000,0.0000,0.0000
@deno/linux-x64-glibc,0.0000,0.0000,0.0000,0.0000
@aztec/bb.js,0.0015,94.8231,10.7974,1.0294
@cdktf/provider-azurerm,0.0003,509.5206,21.1467,1.0000
@imgly/background-removal-node,0.0000,98.0000,16.5000,2.0833
@bitgo-forks/cryptocurrency-icons,0.0000,5.5152,2.5068,1.0009
@github/copilot-linux-arm64,0.0000,0.0000,0.0000,0.0000
botframework-webchat,0.0040,42.4983,2.2016,1.2685
@lenml/tokenizer-gemma3,0.0714,424.2000,1.1714,1.2000
@cyclonedx/cdxgen-plugins-bin-linux-amd64,0.0000,1.0000,0.0000,0.0000
@restatedev/restate-server-linux-x64,0.0000,0.0000,0.0000,0.0000
@restatedev/restate-linux-x64,0.0000,0.0000,0.0000,0.0000
dwt,0.0000,459.6364,1.0801,1.5258
@buildonspark/spark-sdk,0.0006,1035.4223,11.8862,0.8761
@atlaspack/rust,0.0714,397.0000,14.0000,0.0000
@wppconnect/wa-version,0.0397,51.5357,9.4717,0.9811
@xmtp/node-bindings,0.0972,733.0000,85.0000,0.1667
@livestore/common-cf,0.0010,8125.5530,14.0813,1.5826
aerospike,0.0078,231.0093,11.8083,1.6556
openapi-directory,0.0455,55.0000,4.5714,1.2857
gdal-async,0.0047,127.1027,12.1368,1.6611
@pnpm/macos-arm64,0.0000,0.0000,0.0000,0.0000
electron-apps,0.0246,89.7241,21.9583,1.3750
