package,version,jt_ca,jt_ce,jt_instability,module_file_count,module_decl_mean,module_decl_median,module_decl_std_dev,module_decl_max,module_decl_outlier_count,module_internal_fan_in_mean,module_internal_fan_in_median,module_internal_fan_in_std_dev,module_internal_fan_in_max,module_internal_fan_in_outlier_count,module_internal_fan_out_mean,module_internal_fan_out_median,module_internal_fan_out_std_dev,module_internal_fan_out_max,module_internal_fan_out_outlier_count,class_mean,class_median,class_std_dev,class_max,class_outlier_count,function_mean,function_median,function_std_dev,function_max,function_outlier_count,function_call_mean,function_call_median,function_call_std_dev,function_call_max,function_call_outlier_count
googleapis,171.4.0,3545,42,0.0117,1820,2.82,2.00,17.27,582,3,1.31,0.00,1.36,4,0,1.31,0.00,17.28,580,3,7.35,4.00,15.55,230,34,1.35,0.00,13.67,580,1,0.23,0.00,1.05,35,23
googleapis,171.4.0,3545,42,0.0117,1820,2.82,2.00,17.27,582,3,1.31,0.00,1.36,4,0,1.31,0.00,17.28,580,3,7.35,4.00,15.55,230,34,1.35,0.00,13.67,580,1,0.23,0.00,1.05,35,23
googleapis,171.4.0,3545,42,0.0117,1820,2.82,2.00,17.27,582,3,1.31,0.00,1.36,4,0,1.31,0.00,17.28,580,3,7.35,4.00,15.55,230,34,1.35,0.00,13.67,580,1,0.23,0.00,1.05,35,23
next,16.2.6,71112,239,0.0033,4785,2.84,1.00,6.55,107,80,1.97,0.00,5.20,86,78,1.97,1.00,5.13,90,74,0.58,0.00,8.65,541,25,26.93,1.00,200.42,6381,47,3.45,1.00,10.48,739,1150
@next/swc-linux-arm64-gnu,16.2.6,6,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@cloudflare/workerd-linux-64,1.20260519.1,2,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@next/swc-linux-x64-gnu,16.2.6,6,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@next/swc-linux-arm64-musl,16.2.6,6,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@next/swc-linux-x64-musl,16.2.6,6,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@next/swc-darwin-arm64,16.2.6,7,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
onnxruntime-web,1.26.0,354,35,0.09,360,3.83,3.00,4.37,43,4,3.41,1.00,9.67,74,13,3.41,2.00,4.43,43,4,0.61,0.00,1.57,21,3,88.54,6.00,347.64,2866,10,2.99,1.00,6.57,265,522
@next/swc-win32-x64-msvc,16.2.6,6,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@next/swc-darwin-x64,16.2.6,6,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
app-builder-bin,4.2.0,32,0,0,2,0.50,0.50,0.50,1,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.50,0.50,0.50,1,0,3.00,3.00,0.00,3,0
@pnpm/linux-x64,11.1.3,1,1,0.5,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@temporalio/core-bridge,1.16.2,4,5,0.5556,13,1.85,2.00,1.79,6,0,0.77,0.00,0.97,3,0,0.77,0.00,1.05,3,0,0.46,0.00,1.34,5,1,2.38,0.00,3.83,11,0,2.03,2.00,2.18,10,1
opencode-linux-x64-baseline-musl,1.15.5,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
opencode-linux-x64-musl,1.15.5,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@bufbuild/buf-linux-x64,1.69.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
@zed-industries/codex-acp-linux-x64,0.14.0,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0
