package,version,size_bytes,fan_in_total,fan_out,global_instability,coupling_volume,dependency_balance
googleapis,171.4.0,199646715,3545,42,0.0117,3587,3503
next,16.2.6,154840819,71112,227,0.0032,71339,70885
@next/swc-linux-arm64-gnu,16.2.6,124941258,6,0,0.0,6,6
@cloudflare/workerd-linux-64,1.20260519.1,125105997,2,0,0.0,2,2
@next/swc-linux-x64-gnu,16.2.6,130265551,6,0,0.0,6,6
@next/swc-linux-arm64-musl,16.2.6,125218383,6,0,0.0,6,6
@next/swc-linux-x64-musl,16.2.6,130191545,6,0,0.0,6,6
@next/swc-darwin-arm64,16.2.6,121740836,7,0,0.0,7,7
onnxruntime-web,1.26.0,134332969,354,35,0.09,389,319
@next/swc-win32-x64-msvc,16.2.6,136819205,6,0,0.0,6,6
@next/swc-darwin-x64,16.2.6,119737475,6,0,0.0,6,6
app-builder-bin,4.2.0,198438278,32,0,0.0,32,32
@pnpm/linux-x64,11.1.3,146740068,1,1,0.5,2,0
@temporalio/core-bridge,1.16.2,131359441,4,5,0.5556,9,-1
opencode-linux-x64-baseline-musl,1.15.5,140626359,0,0,0.0,0,0
opencode-linux-x64-musl,1.15.5,140626350,0,0,0.0,0,0
@bufbuild/buf-linux-x64,1.69.0,125268882,0,0,0.0,0,0
@zed-industries/codex-acp-linux-x64,0.14.0,221255489,0,0,0.0,0,0
opencode-linux-x64-baseline,1.15.5,143833362,0,0,0.0,0,0
opencode-linux-x64,1.15.5,143833353,1,0,0.0,1,1
@google-cloud/compute,6.11.0,175338033,70,18,0.2045,88,52
@anthropic-ai/claude-code-linux-x64,2.1.144,233404698,0,0,0.0,0,0
dashjs,5.1.1,129997301,147,58,0.2829,205,89
onnxruntime-node,1.26.0,266245395,302,9,0.0289,311,293
@fluentui/react-icons,2.0.326,121897571,222,17,0.0711,239,205
@lancedb/lancedb-linux-x64-gnu,0.29.0,143086498,0,0,0.0,0,0
@cloudflare/workerd-linux-arm64,1.20260519.1,129264762,2,0,0.0,2,2
@formatjs/intl-datetimeformat,7.4.5,174785778,58,4,0.0645,62,54
react-grab,0.1.37,39307992,35,16,0.3137,51,19
@anthropic-ai/claude-code-darwin-arm64,2.1.144,207919585,0,0,0.0,0,0
flow-bin,0.314.0,191162170,12099,0,0.0,12099,12099
@tensorflow/tfjs,4.22.0,147474474,787,45,0.0541,832,742
@github/copilot-linux-x64,1.0.49,160504600,0,0,0.0,0,0
@github/copilot,1.0.49,274876693,19,0,0.0,19,19
@anthropic-ai/claude-code-win32-x64,2.1.144,229303002,0,0,0.0,0,0
opencode-windows-x64,1.15.5,141508115,1,0,0.0,1,1
opencode-windows-x64-baseline,1.15.5,141508124,0,0,0.0,0,0
@lancedb/lancedb-win32-x64-msvc,0.29.0,152295903,0,0,0.0,0,0
@duckdb/duckdb-wasm,1.33.1-dev45.0,148772902,108,33,0.234,141,75
@node-llama-cpp/linux-x64-cuda,3.18.1,159456082,0,0,0.0,0,0
@anthropic-ai/claude-code-linux-x64-musl,2.1.144,227798664,0,0,0.0,0,0
@bufbuild/buf-linux-aarch64,1.69.0,118490012,0,0,0.0,0,0
node-linux-x64,22.22.3,184802990,1,0,0.0,1,1
@iconify/json,2.2.475,416601966,766,10,0.0129,776,756
@cdktf/node-pty-prebuilt-multiarch,0.10.2,167709910,4,17,0.8095,21,-13
@next/swc-freebsd-x64,13.2.4,148496193,3,0,0.0,3,3
@pdftron/webviewer,11.12.0,185609272,26,0,0.0,26,26
@oven/bun-windows-x64,1.3.14,98480706,1,0,0.0,1,1
@cdktf/provider-aws,21.22.1,392167704,65,17,0.2073,82,48
@oven/bun-windows-x64-baseline,1.3.14,97757914,0,0,0.0,0,0
ffprobe-static,3.1.0,351499535,167,1,0.006,168,166
@node-llama-cpp/linux-x64-cuda-ext,3.18.1,464738270,0,0,0.0,0,0
@highcharts/map-collection,2.3.2,130757599,15,0,0.0,15,15
@lancedb/lancedb-linux-x64-musl,0.29.0,125189605,0,0,0.0,0,0
@evilmartians/lefthook,2.1.6,131635039,5648,0,0.0,5648,5648
@github/copilot-language-server,1.489.0,192953871,5,1,0.1667,6,4
@lancedb/lancedb-linux-arm64-gnu,0.29.0,131551813,0,0,0.0,0,0
@progress/kendo-angular-intl,23.4.0,188335297,299,3,0.0099,302,296
@ibm/plex,6.4.1,186600620,46,27,0.3699,73,19
@eth-optimism/contracts-bedrock,0.17.3,128506541,24,4,0.1429,28,20
@aws-amplify/graphql-api-construct,1.21.3,143878005,5,154,0.9686,159,-149
react-native-skia-android,147.1.0,228467070,2,0,0.0,2,2
react-native-skia-apple-ios,147.1.0,214452582,2,0,0.0,2,2
@trufflesuite/uws-js-unofficial,20.30.0-unofficial.0,117587139,19,5,0.2083,24,14
react-native-skia-apple-tvos,147.1.0,214457708,2,0,0.0,2,2
@aws-amplify/data-construct,1.17.3,142149976,1,153,0.9935,154,-152
@bufbuild/buf-darwin-arm64,1.69.0,122897979,0,0,0.0,0,0
@zed-industries/codex-acp-win32-x64,0.14.0,176678205,0,0,0.0,0,0
@zed-industries/codex-acp-linux-arm64,0.14.0,208478033,0,0,0.0,0,0
datamaps,0.5.10,137455952,32,12,0.2727,44,20
@anthropic-ai/claude-code-linux-arm64,2.1.144,233289946,0,0,0.0,0,0
git-cz,4.9.0,152702114,2221,30,0.0133,2251,2191
@bufbuild/buf-win32-x64,1.69.0,128691628,0,0,0.0,0,0
opencode-linux-arm64,1.15.5,143894813,1,0,0.0,1,1
@kilocode/cli-linux-x64-baseline-musl,7.3.0,175586981,0,0,0.0,0,0
@zed-industries/codex-acp-darwin-arm64,0.14.0,179964765,1,0,0.0,1,1
devicon,2.17.0,134906102,12,9,0.4286,21,3
@kilocode/cli-linux-x64,7.3.0,180735575,0,0,0.0,0,0
opencode-linux-arm64-musl,1.15.5,139505674,0,0,0.0,0,0
@node-llama-cpp/win-x64-cuda,3.18.1,145263883,0,0,0.0,0,0
@kilocode/cli-linux-x64-musl,7.3.0,175586972,0,0,0.0,0,0
@bufbuild/buf-darwin-x64,1.69.0,128922783,0,0,0.0,0,0
@bufbuild/buf-win32-arm64,1.69.0,120120754,0,0,0.0,0,0
@kilocode/cli-linux-x64-baseline,7.3.0,180735584,0,0,0.0,0,0
n8n-editor-ui,2.16.2,162870420,14,0,0.0,14,14
fast-geoip,1.1.88,164338251,11,2,0.1538,13,9
@lancedb/lancedb-win32-arm64-msvc,0.29.0,128228330,0,0,0.0,0,0
@concordium/web-sdk,12.0.2,131501305,9,43,0.8269,52,-34
@cdktf/provider-datadog,12.15.2,143989886,1,17,0.9444,18,-16
@adguard/dnr-rulesets,4.1.20260519060101,249456295,0,39,1.0,39,-39
@progress/kendo-ui,2026.1.415,197164419,53,22,0.2933,75,31
@node-llama-cpp/win-x64-cuda-ext,3.18.1,461574845,0,0,0.0,0,0
@cdxgen/cdxgen-plugins-bin-linux-amd64,2.1.1,121718805,0,0,0.0,0,0
minecraft-data,3.110.2,389364825,126,7,0.0526,133,119
polyfill-library,4.8.0,134193924,27,68,0.7158,95,-41
pspdfkit,2024.8.2,202856332,5,1,0.1667,6,4
@github/copilot-darwin-arm64,1.0.50,156422573,0,0,0.0,0,0
@op-engineering/op-sqlite,16.0.0,362599968,50,11,0.1803,61,39
@prisma/sdk,4.0.0,122113367,242,60,0.1987,302,182
@cdktf/provider-google,16.12.1,309341454,32,17,0.3469,49,15
@syncfusion/ej2,33.2.7,275640245,23,51,0.6892,74,-28
oh-my-opencode-windows-x64,4.2.2,106758066,1,0,0.0,1,1
@nutrient-sdk/viewer,1.15.0,148346434,0,1,1.0,1,-1
distilled-aws,0.1.1,193344804,2,20,0.9091,22,-18
@amcharts/amcharts5-geodata,5.1.5,350910498,6,1,0.1429,7,5
oh-my-opencode-windows-x64-baseline,4.2.2,106035149,1,0,0.0,1,1
@cdktf/provider-kubernetes,12.1.1,149843765,8,17,0.68,25,-9
@azure/mcp-linux-x64,3.0.0-beta.10,146259937,1,0,0.0,1,1
