package,npm_link,version,size_bytes,file_count,nonempty_file_count,dependencies,dev_dependencies
googleapis,https://www.npmjs.com/package/googleapis,171.4.0,199646715,1823,1823,"{""google-auth-library"": ""^10.2.0"", ""googleapis-common"": ""^8.0.0""}","{""@types/execa"": ""^2.0.2"", ""@types/mocha"": ""^10.0.10"", ""@types/mv"": ""^2.1.4"", ""@types/ncp"": ""^2.0.8"", ""@types/node"": ""^22.15.3"", ""@types/nunjucks"": ""^3.2.6"", ""@types/prettier"": ""^3.0.0"", ""@types/proxyquire"": ""^1.3.31"", ""@types/qs"": ""^6.9.18"", ""@types/sinon"": ""^21.0.0"", ""@types/tmp"": ""^0.2.6"", ""@types/url-template"": ""^2.0.28"", ""@types/yargs-parser"": ""^21.0.3"", ""c8"": ""^10.1.3"", ""codecov"": ""^3.8.3"", ""cross-env"": ""^7.0.3"", ""execa"": ""^5.0.0"", ""gaxios"": ""^7.1.0"", ""gts"": ""^6.0.2"", ""js-green-licenses"": ""^4.0.0"", ""jsdoc"": ""^4.0.4"", ""jsdoc-fresh"": ""^5.0.0"", ""jsdoc-region-tag"": ""^4.0.0"", ""linkinator"": ""^6.1.2"", ""mocha"": ""^11.2.2"", ""mv"": ""^2.1.1"", ""ncp"": ""^2.0.0"", ""nock"": ""^14.0.4"", ""nunjucks"": ""^3.2.4"", ""open"": ""^10.1.2"", ""p-queue"": ""^6.0.0"", ""pdfmake"": ""^0.2.19"", ""prettier"": ""^3.5.3"", ""proxyquire"": ""^2.1.3"", ""rimraf"": ""^5.0.0"", ""server-destroy"": ""^1.0.1"", ""sinon"": ""^21.0.0"", ""tmp"": ""^0.2.3"", ""typescript"": ""^5.8.3"", ""yargs-parser"": ""^21.1.1""}"
next,https://www.npmjs.com/package/next,16.2.6,154840819,8070,8010,"{""postcss"": ""8.4.31"", ""@next/env"": ""16.2.6"", ""styled-jsx"": ""5.1.6"", ""@swc/helpers"": ""0.5.15"", ""caniuse-lite"": ""^1.0.30001579"", ""baseline-browser-mapping"": ""^2.9.19""}","{""ws"": ""8.2.3"", ""arg"": ""4.1.0"", ""msw"": ""2.3.0"", ""ora"": ""4.0.4"", ""tar"": ""7.5.11"", ""zod"": ""3.25.76"", ""conf"": ""5.0.0"", ""glob"": ""7.1.7"", ""send"": ""0.18.0"", ""util"": ""0.12.4"", ""acorn"": ""8.14.0"", ""anser"": ""1.4.9"", ""bytes"": ""3.1.1"", ""debug"": ""4.1.1"", ""fresh"": ""0.5.2"", ""json5"": ""2.2.3"", ""taskr"": ""1.1.0"", ""assert"": ""2.0.0"", ""buffer"": ""5.6.0"", ""busboy"": ""1.6.0"", ""cookie"": ""0.4.1"", ""events"": ""3.3.0"", ""is-wsl"": ""2.2.0"", ""nanoid"": ""3.1.32"", ""recast"": ""0.23.11"", ""semver"": ""7.3.2"", ""terser"": ""5.27.0"", ""ci-info"": ""github:watson/ci-info#f43f6a1cefff47fb361c88cf4b943fdbcaafe540"", ""devalue"": ""2.0.1"", ""find-up"": ""4.1.0"", ""p-limit"": ""3.1.0"", ""p-queue"": ""6.6.2"", ""process"": ""0.11.10"", ""webpack"": ""5.98.0"", ""punycode"": ""2.1.1"", ""raw-body"": ""2.4.1"", ""unistore"": ""3.4.1"", ""@next/swc"": ""16.2.6"", ""@swc/core"": ""1.11.24"", ""@types/ws"": ""8.2.0"", ""commander"": ""12.1.0"", ""cross-env"": ""6.0.3"", ""gzip-size"": ""5.1.1"", ""ipaddr.js"": ""2.2.0"", ""is-docker"": ""2.0.0"", ""neo-async"": ""2.6.1"", ""picomatch"": ""4.0.1"", ""storybook"": ""8.6.0"", ""watchpack"": ""2.4.0"", ""@next/font"": ""16.2.6"", ""@swc/types"": ""0.1.7"", ""async-sema"": ""3.0.0"", ""cli-select"": ""1.1.2"", ""css-loader"": ""7.1.2"", ""css.escape"": ""1.5.1"", ""http-proxy"": ""1.18.1"", ""icss-utils"": ""5.1.0"", ""image-size"": ""1.2.1"", ""native-url"": ""0.3.4"", ""source-map"": ""0.6.1"", ""strip-ansi"": ""6.0.0"", ""text-table"": ""0.2.0"", ""typescript"": ""5.9.2"", ""web-vitals"": ""4.2.1"", ""@babel/core"": ""7.26.10"", ""@jest/types"": ""29.5.0"", ""@types/glob"": ""7.1.1"", ""@types/send"": ""0.14.4"", ""@vercel/ncc"": ""0.34.0"", ""@vercel/nft"": ""0.27.1"", ""async-retry"": ""1.2.3"", ""client-only"": ""0.0.1"", ""compression"": ""1.7.4"", ""cross-spawn"": ""7.0.3"", ""jest-worker"": ""27.5.1"", ""sass-loader"": ""16.0.5"", ""server-only"": ""0.0.1"", ""shell-quote"": ""1.7.3"", ""stream-http"": ""3.1.1"", ""string-hash"": ""1.1.3"", ""superstruct"": ""1.0.3"", ""@babel/types"": ""7.27.0"", ""@hapi/accept"": ""5.0.2"", ""@rspack/core"": ""1.6.7"", ""@taskr/clear"": ""1.1.0"", ""@types/bytes"": ""3.1.1"", ""@types/debug"": ""4.1.5"", ""@types/fresh"": ""0.5.0"", ""@types/react"": ""19.0.8"", ""babel-loader"": ""10.0.0"", ""browserslist"": ""4.28.1"", ""comment-json"": ""3.0.3"", ""content-type"": ""1.0.4"", ""edge-runtime"": ""4.0.1"", ""jsonwebtoken"": ""9.0.0"", ""lodash.curry"": ""4.1.1"", ""postcss-scss"": ""4.0.3"", ""setimmediate"": ""1.0.5"", ""source-map08"": ""npm:source-map@0.8.0-beta.0"", ""style-loader"": ""4.0.0"", ""ua-parser-js"": ""1.0.35"", ""@taskr/esnext"": ""1.1.0"", ""@types/cookie"": ""0.3.3"", ""@types/lodash"": ""4.14.198"", ""@types/semver"": ""7.3.1"", ""ignore-loader"": ""0.1.2"", ""loader-runner"": ""4.3.0"", ""loader-utils2"": ""npm:loader-utils@2.0.4"", ""loader-utils3"": ""npm:loader-utils@3.1.3"", ""os-browserify"": ""0.3.0"", ""react-refresh"": ""0.12.0"", ""schema-utils2"": ""npm:schema-utils@2.7.1"", ""schema-utils3"": ""npm:schema-utils@3.0.0"", ""serve-handler"": ""6.1.6"", ""vm-browserify"": ""1.1.2"", ""@babel/runtime"": ""7.27.0"", ""@types/ci-info"": ""2.0.0"", ""axe-playwright"": ""2.0.3"", ""domain-browser"": ""4.19.0"", ""path-to-regexp"": ""6.3.0"", ""string_decoder"": ""1.3.0"", ""tty-browserify"": ""0.0.1"", ""@babel/traverse"": ""7.27.0"", ""@jest/transform"": ""29.5.0"", ""@storybook/test"": ""8.6.0"", ""@types/platform"": ""1.3.4"", ""@types/react-is"": ""18.2.4"", ""browserify-zlib"": ""0.2.0"", ""path-browserify"": ""1.0.1"", ""querystring-es3"": ""0.2.1"", ""@babel/generator"": ""7.27.0"", ""@napi-rs/triples"": ""1.2.0"", ""@playwright/test"": ""1.58.2"", ""@storybook/react"": ""8.6.0"", ""@types/picomatch"": ""2.3.3"", ""@types/react-dom"": ""19.0.3"", ""http-proxy-agent"": ""5.0.0"", ""https-browserify"": ""1.0.0"", ""node-html-parser"": ""5.3.3"", ""webpack-sources1"": ""npm:webpack-sources@1.4.3"", ""webpack-sources3"": ""npm:webpack-sources@3.2.3"", ""@babel/preset-env"": ""7.26.9"", ""@storybook/blocks"": ""8.6.0"", ""@types/text-table"": ""0.2.1"", ""crypto-browserify"": ""3.12.0"", ""https-proxy-agent"": ""5.0.1"", ""source-map-loader"": ""5.0.0"", ""stacktrace-parser"": ""0.1.10"", ""stream-browserify"": ""3.0.0"", ""timers-browserify"": ""2.0.12"", ""@opentelemetry/api"": ""1.6.0"", ""@types/babel__core"": ""7.20.5"", ""@types/compression"": ""0.0.36"", ""@types/cross-spawn"": ""6.0.0"", ""@types/shell-quote"": ""1.7.1"", ""data-uri-to-buffer"": ""3.0.1"", ""postcss-preset-env"": ""7.4.3"", ""@babel/preset-react"": ""7.26.3"", ""@capsizecss/metrics"": ""3.4.0"", ""@mswjs/interceptors"": ""0.23.0"", ""@types/content-type"": ""1.1.3"", ""@types/jsonwebtoken"": ""9.0.0"", ""@types/lodash.curry"": ""4.1.6"", ""@types/ua-parser-js"": ""0.7.36"", ""content-disposition"": ""0.5.3"", ""postcss-safe-parser"": ""6.0.0"", ""regenerator-runtime"": ""0.13.4"", ""@babel/eslint-parser"": ""7.24.6"", ""@types/serve-handler"": ""6.1.4"", ""constants-browserify"": ""1.0.0"", ""postcss-value-parser"": ""4.2.0"", ""strict-event-emitter"": ""0.5.0"", ""zod-validation-error"": ""3.4.0"", ""@edge-runtime/cookies"": ""6.0.0"", ""@next/polyfill-module"": ""16.2.6"", ""@storybook/addon-a11y"": ""8.6.0"", ""@types/path-to-regexp"": ""1.7.0"", ""@vercel/routing-utils"": ""5.2.0"", ""postcss-modules-scope"": ""3.0.0"", ""safe-stable-stringify"": ""2.5.0"", ""terser-webpack-plugin"": ""5.3.9"", ""@edge-runtime/ponyfill"": ""4.0.0"", ""@storybook/test-runner"": ""0.21.0"", ""@types/babel__template"": ""7.4.4"", ""@types/babel__traverse"": ""7.20.7"", ""cssnano-preset-default"": ""7.0.6"", ""postcss-flexbugs-fixes"": ""5.0.2"", ""postcss-modules-values"": ""4.0.0"", ""@next/polyfill-nomodule"": ""16.2.6"", ""@types/babel__generator"": ""7.27.0"", ""@types/webpack-sources1"": ""npm:@types/webpack-sources@0.1.5"", ""mini-css-extract-plugin"": ""2.4.4"", ""@babel/plugin-syntax-jsx"": ""7.25.9"", ""@babel/preset-typescript"": ""7.27.0"", ""@edge-runtime/primitives"": ""6.0.0"", ""@types/babel__code-frame"": ""7.0.6"", ""@base-ui-components/react"": ""1.0.0-beta.2"", ""@modelcontextprotocol/sdk"": ""1.18.1"", ""@next/react-refresh-utils"": ""16.2.6"", ""@storybook/react-webpack5"": ""8.6.0"", ""@types/content-disposition"": ""0.5.4"", ""@babel/plugin-syntax-bigint"": ""7.8.3"", ""@storybook/addon-essentials"": ""8.6.0"", ""babel-plugin-react-compiler"": ""0.0.0-experimental-1371fcb-20260227"", ""@storybook/addon-interactions"": ""8.6.0"", ""babel-plugin-transform-define"": ""2.0.0"", ""@babel/plugin-syntax-typescript"": ""7.25.4"", ""@babel/plugin-transform-runtime"": ""7.26.10"", ""postcss-modules-extract-imports"": ""3.0.0"", ""@types/express-serve-static-core"": ""4.17.33"", ""postcss-modules-local-by-default"": ""4.2.0"", ""@babel/plugin-syntax-dynamic-import"": ""7.8.3"", ""@vercel/turbopack-ecmascript-runtime"": ""*"", ""@babel/plugin-syntax-import-attributes"": ""7.26.0"", ""@storybook/addon-webpack5-compiler-swc"": ""3.0.0"", ""@babel/plugin-transform-class-properties"": ""7.25.9"", ""@babel/plugin-transform-modules-commonjs"": ""7.26.3"", ""@babel/plugin-transform-numeric-separator"": ""7.25.9"", ""@babel/plugin-transform-object-rest-spread"": ""7.25.9"", ""@babel/plugin-transform-export-namespace-from"": ""7.25.9"", ""babel-plugin-transform-react-remove-prop-types"": ""0.4.24""}"
@next/swc-linux-arm64-gnu,https://www.npmjs.com/package/@next/swc-linux-arm64-gnu,16.2.6,124941258,3,3,{},{}
@cloudflare/workerd-linux-64,https://www.npmjs.com/package/@cloudflare/workerd-linux-64,1.20260519.1,125105997,3,3,{},{}
@next/swc-linux-x64-gnu,https://www.npmjs.com/package/@next/swc-linux-x64-gnu,16.2.6,130265551,3,3,{},{}
@next/swc-linux-arm64-musl,https://www.npmjs.com/package/@next/swc-linux-arm64-musl,16.2.6,125218383,3,3,{},{}
@next/swc-linux-x64-musl,https://www.npmjs.com/package/@next/swc-linux-x64-musl,16.2.6,130191545,3,3,{},{}
@next/swc-darwin-arm64,https://www.npmjs.com/package/@next/swc-darwin-arm64,16.2.6,121740836,3,3,{},{}
onnxruntime-web,https://www.npmjs.com/package/onnxruntime-web,1.26.0,134332969,507,507,"{""flatbuffers"": ""^25.1.24"", ""guid-typescript"": ""^1.0.9"", ""long"": ""^5.2.3"", ""onnxruntime-common"": ""1.26.0"", ""platform"": ""^1.3.6"", ""protobufjs"": ""^7.2.4""}","{""@chiragrupani/karma-chromium-edge-launcher"": ""^2.2.2"", ""@petamoriken/float16"": ""^3.8.7"", ""@types/chai"": ""^4.3.4"", ""@types/emscripten"": ""^1.39.6"", ""@types/karma"": ""^6.1.0"", ""@types/minimatch"": ""^5.1.2"", ""@types/minimist"": ""^1.2.2"", ""@types/platform"": ""^1.3.4"", ""@webgpu/types"": ""^0.1.42"", ""base64-js"": ""^1.5.1"", ""chai"": ""^4.3.7"", ""electron"": ""^39.8.5"", ""globby"": ""^13.1.3"", ""karma"": ""^6.4.1"", ""karma-browserstack-launcher"": ""^1.6.0"", ""karma-chai"": ""^0.1.0"", ""karma-chrome-launcher"": ""^3.1.1"", ""karma-edge-launcher"": ""^0.4.2"", ""karma-electron"": ""^7.3.0"", ""karma-firefox-launcher"": ""^2.1.2"", ""karma-mocha"": ""^2.0.1"", ""karma-mocha-reporter"": ""^2.2.5"", ""karma-safari-applescript-launcher"": ""^0.1.1"", ""karma-sourcemap-loader"": ""^0.4.0"", ""minimatch"": ""^7.4.2"", ""minimist"": ""^1.2.8"", ""numpy-parser"": ""^1.2.3"", ""source-map"": ""^0.7.4"", ""strip-json-comments"": ""^5.0.0""}"
@next/swc-win32-x64-msvc,https://www.npmjs.com/package/@next/swc-win32-x64-msvc,16.2.6,136819205,3,3,{},{}
