package,dependency,dep_type,version_declared,latest_version,major_diff,minor_diff,patch_diff
googleapis,google-auth-library,prod,^10.2.0,10.6.2,0,4,0
@freeclaude/cli,google-auth-library,prod,9.15.1,10.6.2,1,0,0
@winglang/sdk,google-auth-library,prod,^8.9.0,10.6.2,2,0,0
@ribeec20/clawify,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
@rajkoli145/friday,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
@fredguile/openclaw,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
@cdogclaw/openclaw,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
@opencow-ai/opencow-agent-sdk,google-auth-library,prod,9.15.1,10.6.2,1,0,0
ts-glitter,google-auth-library,prod,^9.10.0,10.6.2,1,0,0
agnai,google-auth-library,prod,^9.11.0,10.6.2,1,0,0
@topichub/core,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
enclaws,google-auth-library,prod,10.5.0,10.6.2,0,1,0
waspcode-ai,google-auth-library,prod,10.5.0,10.6.2,0,1,0
@qverisai/qverisbot,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
axion-planetary-mcp,google-auth-library,prod,^10.3.0,10.6.2,0,3,0
openclaw-aimlapi,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
@wenchengj/openclaw,google-auth-library,prod,^10.6.2,10.6.2,0,0,0
@fermumen/databricks-execute,google-auth-library,prod,^10.4.1,10.6.2,0,2,0
@bonginkan/maria,google-auth-library,prod,^10.3.0,10.6.2,0,3,0
jennifer5-frontend,google-auth-library,dev,^9.4.2,10.6.2,1,0,0
innapsis,google-auth-library,prod,^9.5.0,10.6.2,1,0,0
googleapis,googleapis-common,prod,^8.0.0,8.0.1,0,0,1
googleapis,@types/execa,dev,^2.0.2,2.0.2,0,0,0
googleapis,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
@google-cloud/compute,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
@cdktf/node-pty-prebuilt-multiarch,@types/mocha,dev,^10.0.6,10.0.10,0,0,4
aerospike,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
openapi-directory,@types/mocha,dev,^5.2.5,10.0.10,5,0,0
gdal-async,@types/mocha,dev,^10.0.6,10.0.10,0,0,4
@signalapp/libsignal-client,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
@lunapaint/tga-codec,@types/mocha,dev,^9.0.0,10.0.10,1,0,0
@ensdomains/ens-contracts,@types/mocha,dev,^9.1.1,10.0.10,1,0,0
@venusprotocol/venus-protocol,@types/mocha,dev,^9.1.1,10.0.10,1,0,0
@venusprotocol/isolated-pools,@types/mocha,dev,^9.1.1,10.0.10,1,0,0
obs-studio-node,@types/mocha,dev,^5.2.5,10.0.10,5,0,0
@kyburz/kdesign-system,@types/mocha,dev,^10.0.1,10.0.10,0,0,9
@cardstack/hub,@types/mocha,dev,^8.2.1,10.0.10,2,0,0
iobroker.vis-2,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
turtlecoin-cryptonote-util,@types/mocha,dev,^8.0.2,10.0.10,2,0,0
@aptos-scp/scp-component-rn-device-services,@types/mocha,dev,^7.0.2,10.0.10,3,0,0
@hyperlane-xyz/cli,@types/mocha,dev,^10.0.1,10.0.10,0,0,9
@finbourne/lusid-preview,@types/mocha,dev,^5.2.6,10.0.10,5,0,0
@vechain/vebetterdao-contracts,@types/mocha,prod,>=9.1.0,10.0.10,1,0,0
@browserless.io/browserless,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
zeeve-cli-corda-enterprise-plugin,@types/mocha,dev,^9.0.0,10.0.10,1,0,0
turnilo,@types/mocha,dev,9.0.0,10.0.10,1,0,0
bokehjs,@types/mocha,dev,^5.2.6,10.0.10,5,0,0
@finsemble/finsemble-core,@types/mocha,dev,10.0.2,10.0.10,0,0,8
govuk-chakra,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
@team-monolith/pxt-core,@types/mocha,dev,^10.0.10,10.0.10,0,0,0
@here/harp-map-theme,@types/mocha,dev,^8.2.0,10.0.10,2,0,0
@lzhoucs/html2canvas,@types/mocha,dev,^5.2.6,10.0.10,5,0,0
@teller-protocol/v2-contracts,@types/mocha,dev,^9.0.0,10.0.10,1,0,0
agnai,@types/mocha,dev,^10.0.1,10.0.10,0,0,9
fauna-shell,@types/mocha,dev,^10.0.1,10.0.10,0,0,9
@firestitch/codegenerator,@types/mocha,dev,^9.0.0,10.0.10,1,0,0
@setprotocol/set-protocol-v2,@types/mocha,dev,^7.0.2,10.0.10,3,0,0
scu-web-components,@types/mocha,dev,10.0.1,10.0.10,0,0,9
@stargatefinance/stg-evm-v2,@types/mocha,dev,~10.0.7,10.0.10,0,0,3
@grconrad/vscode-binaries,@types/mocha,dev,2.2.39,10.0.10,8,0,0
@alpaca-finance/alpaca-contract,@types/mocha,dev,^8.2.0,10.0.10,2,0,0
@dharmaprotocol/contracts,@types/mocha,dev,^2.2.47,10.0.10,8,0,0
@connext/smart-contracts,@types/mocha,dev,10.0.1,10.0.10,0,0,9
