package_name,size_bytes,size_source
@chainsafe/eth2-spec-tests,5963579668,dist.unpackedSize
modez,4397802621,dist.unpackedSize
@mpetrunic/eth2-spec-tests,4133982179,dist.unpackedSize
similar-persian-words,3045825802,dist.unpackedSize
basic-react-steps,1703354873,dist.unpackedSize
@kunal-mohta/duckdb-wasm,1695566406,dist.unpackedSize
@proofofplay/erc721-extensions,1370611604,dist.unpackedSize
docer-outdated_documentation-,1332044040,dist.unpackedSize
roninjin10,1327328123,dist.unpackedSize
murmur-bloomfilter,1314249792,dist.unpackedSize
cafe24-zipcode,1250160690,dist.unpackedSize
@margarettevelasquez/cafe24-zipcode,1250160685,dist.unpackedSize
@babylonjs/react-native-windows,1229620960,dist.unpackedSize
jacky,1184008177,dist.unpackedSize
@vtex/checkout-ui-core,1178368118,dist.unpackedSize
transmissions,1177807799,dist.unpackedSize
sodev-salary-guide,1151236888,dist.unpackedSize
@babylonjs/react-native-basekit-windows-0-65,1122000075,dist.unpackedSize
@babylonjs/react-native-basekit-windows-0-64,1121990139,dist.unpackedSize
temporibusunde,1097206672,dist.unpackedSize
@cdktf-providers/metio-k8s,1095336915,dist.unpackedSize
@rustbin/rustc-docs-1.88.0-x86_64-unknown-linux-gnu,1094147416,dist.unpackedSize
@rustbin/rustc-docs-1.88.0-aarch64-unknown-linux-gnu,1093821630,dist.unpackedSize
test-big-pkg,1073762796,dist.unpackedSize
npm.dot.test,1073742036,dist.unpackedSize
advanced-anomaly-handler-training-data,1070884214,dist.unpackedSize
@rustbin/rustc-docs-nightly-x86_64-unknown-linux-gnu,1059012758,dist.unpackedSize
flbot,1058433972,dist.unpackedSize
@rustbin/rustc-docs-nightly-aarch64-unknown-linux-gnu,1057452021,dist.unpackedSize
orion-app,1057378198,dist.unpackedSize
@babylonjs/react-native-windows-0.70,1056980228,dist.unpackedSize
@spacesprotocol/react-native-libveritas,1053652390,dist.unpackedSize
@rustbin/rustc-docs-1.87.0-x86_64-unknown-linux-gnu,1050309808,dist.unpackedSize
@rustbin/rustc-docs-1.87.0-aarch64-unknown-linux-gnu,1049939996,dist.unpackedSize
@rustbin/rustc-docs-1.86.0-x86_64-unknown-linux-gnu,1039364413,dist.unpackedSize
@rustbin/rustc-docs-1.86.0-aarch64-unknown-linux-gnu,1038171136,dist.unpackedSize
estimize-react-dates,1037858652,dist.unpackedSize
@mobrowser-apps/mobrowser-win-x64-debug,1037456442,dist.unpackedSize
