package_name,downloads
next,34757357
@next/swc-linux-x64-gnu,31131275
@next/swc-linux-x64-musl,24718998
@cloudflare/workerd-linux-64,9083131
googleapis,7317363
@next/swc-linux-arm64-gnu,3761848
@next/swc-darwin-arm64,3490189
@next/swc-linux-arm64-musl,3466590
@next/swc-win32-x64-msvc,3396198
@next/swc-darwin-x64,2886143
app-builder-bin,1610800
onnxruntime-web,1493987
onnxruntime-node,1459662
@zed-industries/codex-acp-linux-x64,1347719
@pnpm/linux-x64,1254496
@temporalio/core-bridge,1240827
@anthropic-ai/claude-code-linux-x64,979796
opencode-linux-x64,887038
opencode-linux-x64-baseline,879994
opencode-linux-x64-baseline-musl,878347
opencode-linux-x64-musl,873791
@bufbuild/buf-linux-x64,845792
@github/copilot,823692
@lancedb/lancedb-linux-x64-gnu,751121
@github/copilot-linux-x64,661783
dashjs,553774
@anthropic-ai/claude-code-darwin-arm64,537983
@google-cloud/compute,498496
@fluentui/react-icons,470927
@cloudflare/workerd-linux-arm64,417343
flow-bin,414807
@node-llama-cpp/linux-x64-cuda,370920
@node-llama-cpp/linux-x64-cuda-ext,369148
@anthropic-ai/claude-code-win32-x64,354191
@formatjs/intl-datetimeformat,310407
@tensorflow/tfjs,295905
react-grab,286936
@pdftron/webviewer,274190
opencode-windows-x64,260960
opencode-windows-x64-baseline,251392
@lancedb/lancedb-win32-x64-msvc,227835
@ibm/plex,218102
@iconify/json,202353
@anthropic-ai/claude-code-linux-x64-musl,190741
ffprobe-static,186451
node-linux-x64,179475
@duckdb/duckdb-wasm,173867
@bufbuild/buf-linux-aarch64,161097
@next/swc-freebsd-x64,158465
@cdktf/node-pty-prebuilt-multiarch,155135
@oven/bun-windows-x64,145100
@cdktf/provider-aws,144609
@oven/bun-windows-x64-baseline,142454
@github/copilot-language-server,140263
@lancedb/lancedb-linux-x64-musl,136396
@evilmartians/lefthook,130937
@highcharts/map-collection,129935
@lancedb/lancedb-linux-arm64-gnu,122227
@aws-amplify/graphql-api-construct,121894
react-native-skia-android,121334
react-native-skia-apple-ios,121295
react-native-skia-apple-tvos,121292
@aws-amplify/data-construct,109562
@progress/kendo-angular-intl,107356
@zed-industries/codex-acp-linux-arm64,99442
@trufflesuite/uws-js-unofficial,97093
@eth-optimism/contracts-bedrock,88723
@zed-industries/codex-acp-win32-x64,85728
@node-llama-cpp/win-x64-cuda-ext,85260
@anthropic-ai/claude-code-linux-arm64,84602
@node-llama-cpp/win-x64-cuda,84439
@bufbuild/buf-darwin-arm64,83762
datamaps,83148
git-cz,77024
@zed-industries/codex-acp-darwin-arm64,73388
devicon,70625
@bufbuild/buf-win32-x64,69607
opencode-linux-arm64,67755
@kilocode/cli-linux-x64-baseline-musl,67059
@kilocode/cli-linux-x64,67058
opencode-linux-arm64-musl,67006
@kilocode/cli-linux-x64-musl,66873
@kilocode/cli-linux-x64-baseline,66828
@bufbuild/buf-darwin-x64,65156
@cdxgen/cdxgen-plugins-bin-linux-amd64,61168
@bufbuild/buf-win32-arm64,60705
@op-engineering/op-sqlite,60190
n8n-editor-ui,59837
@lancedb/lancedb-win32-arm64-msvc,59638
fast-geoip,56225
@adguard/dnr-rulesets,56002
@github/copilot-darwin-arm64,53405
pspdfkit,51200
@progress/kendo-ui,49393
@concordium/web-sdk,47422
realm,47359
@amcharts/amcharts5-geodata,46632
@cdktf/provider-datadog,45267
minecraft-data,44037
polyfill-library,42586
@prisma/sdk,41473
@syncfusion/ej2,40805
@nutrient-sdk/viewer,40717
@cdktf/provider-google,40324
oh-my-opencode-windows-x64,36602
oh-my-opencode-windows-x64-baseline,35855
@azure/mcp-linux-x64,34852
distilled-aws,34522
google-closure-compiler-osx,34352
oh-my-openagent-linux-x64,34073
opencode-windows-arm64,32446
@anthropic-ai/claude-code-darwin-x64,32335
@asyncapi/studio,32223
oh-my-openagent-windows-x64,29804
oh-my-openagent-windows-x64-baseline,29663
@cdktf/provider-kubernetes,29323
@neo4j-cypher/language-support,28716
unicode-9.0.0,28516
@pnpm/linux-arm64,27762
cldr,27559
@imgly/background-removal-node,27328
oh-my-opencode-linux-x64,26886
@shabados/database,25033
@gitlab/web-ide,24184
@amcharts/amcharts4-geodata,23953
@bitgo-forks/cryptocurrency-icons,23562
azure,21447
@deno/linux-x64-glibc,21397
@tabler/icons-webfont,20493
liquibase,19980
@cyclonedx/cdxgen-plugins-bin-linux-amd64,19592
@aztec/bb.js,18380
@github/copilot-linux-arm64,17981
gsd-pi,17608
dwt,17552
@cdktf/provider-azurerm,17219
@restatedev/restate-server-linux-x64,16853
@buildonspark/spark-sdk,16653
@atlaspack/rust,16439
@lenml/tokenizer-gemma3,15749
@restatedev/restate-linux-x64,15395
botframework-webchat,14707
aerospike,14620
@xmtp/node-bindings,14544
permitio,14400
serverless-offline-aws-eventbridge,14349
@livestore/common-cf,14316
@wppconnect/wa-version,14255
electron-apps,14035
jqwidgets-framework,13989
gdal-async,13886
openapi-directory,13754
@pnpm/macos-arm64,13645
rocksdb-native,13460
stockfish,13268
choerodon-ui,13212
@aztec/l1-artifacts,13188
@qingchencloud/openclaw-zh,13106
@antimatterhq/antimatter,12683
@matbee/libreoffice-converter,12463
nw-gyp,12254
@mchp-mcc/pic-16bit,12150
@elasticprojects/abstract-cli,12079
omniroute,11865
@embedded-postgres/darwin-arm64,11730
@central-icons-react/all,11690
@codemod.com/cli-linux-x64-gnu,11641
@factory/cli-linux-x64,11337
@microsoft/workiq,11295
@github/copilot-darwin-x64,11270
react-fluentui-emoji,11235
@factory/cli-linux-x64-baseline,11162
iso3166-2-db,11116
kuzu,11026
@gitbook/fontawesome-pro,10642
@rivetkit/engine-cli-linux-x64-musl,10511
doc999tor-fast-geoip,10482
react-native-signature-capture,10287
@zed-industries/codex-acp-darwin-x64,10095
node-bin-darwin-arm64,9906
@rivetkit/engine-cli-linux-arm64-musl,9741
unicode-5.2.0,9511
gm-kilo,9194
@rivetkit/engine-cli-darwin-x64,9081
@kilocode/cli-windows-x64,9028
@kilocode/cli-windows-x64-baseline,9018
prismarine-viewer,8943
@rivetkit/engine-cli-darwin-arm64,8900
@expo/swiftlint,8858
gm-codex,8804
go-ios,8691
libav.js,8556
code-server,8500
@anthropic-ai/claude-code-linux-arm64-musl,8407
gm-cc,8353
gm-qwen,8157
teradatasql,7974
@syncfusion/ej2-cldr-data,7686
@mchp-mcc/pic-8bit,7667
prismarine-web-client,7503
cycletls,7466
iobroker.lovelace,7368
node-darwin-x64,7285
@anthropic-ai/claude-code-win32-arm64,6630
unicode-8.0.0,6619
dirac-cli,6259
@cdktf/provider-google-beta,6195
@dcl/explorer,6179
@turbo/gen-windows-64,6156
@faststore/core,6131
@oh-my-pi/pi-natives,6115
emoji-assets,6034
happy,6012
@bentley/imodeljs-win32-x64,5995
@material-symbols-svg/react-rounded,5921
nswag-portable,5903
@snyk/vervet,5870
@carbon/icons-angular,5810
bs-platform,5794
@ip-location-db/geolite2-city,5705
@layerzerolabs/lz-evm-sdk-v2,5702
@sigmashake/ssg-win32-x64,5641
jqwidgets-scripts-custom,5522
ctt-babylon,5412
zh-stroke-data,5328
coveo-search-ui,5323
node-linux-arm64,5292
j-gallery,5286
@eusoumarlon/wa-version,5278
react-native-filament,5254
@bentley/imodeljs-linux-x64,5249
@vscode/openssl-prebuilt,5227
groove-dev,5216
china-division,5178
